fund_house,scheme_type,scheme_category,scheme_code,scheme_name
ICICI Prudential Mutual Fund,Others,Income,111406,ICICI Prudential Interval Fund Quarterly Interval Plan 1 -Dividend
ICICI Prudential Mutual Fund,Others,Income,124214,ICICI Prudential Interval Fund Quarterly Interval Plan 1 Plan - Direct Plan - Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,105907,ICICI Prudential Interval Fund - Quarterly Interval Plan II - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,105908,ICICI Prudential Interval Fund - Quarterly Interval Plan II - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120639,ICICI Prudential Interval Fund II Quarterly Interval - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,110203,ICICI Prudential Interval Fund II Quarterly Interval - Dividend
ICICI Prudential Mutual Fund,Others,Income,110204,ICICI Prudential Interval Fund II Quarterly Interval - Growth
ICICI Prudential Mutual Fund,Others,Income,127399,ICICI Prudential Interval Fund - Quarterly Interval Plan III - Direct Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,106141,ICICI Prudential Interval Fund - Quarterly Interval Plan III - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,106142,ICICI Prudential Interval Fund - Quarterly Interval Plan III - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120654,ICICI Prudential Interval Fund III Quarterly Interval - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,Others,Income,120655,ICICI Prudential Interval Fund III Quarterly Interval - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,110556,ICICI Prudential Interval Fund III Quarterly Interval - Dividend
ICICI Prudential Mutual Fund,Others,Income,110555,ICICI Prudential Interval Fund III Quarterly Interval - Growth
ICICI Prudential Mutual Fund,Others,Income,121129,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Cumulative
ICICI Prudential Mutual Fund,Others,Income,121127,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Direct Plan - Cumulative
ICICI Prudential Mutual Fund,Others,Income,121126,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Direct Plan - Dividend
ICICI Prudential Mutual Fund,Others,Income,121364,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - C - Cumulative
ICICI Prudential Mutual Fund,Others,Income,121362,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - C - Direct Plan - Cumulative
ICICI Prudential Mutual Fund,Others,Income,121441,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - D - Cumulative
ICICI Prudential Mutual Fund,Others,Income,121440,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - D - Direct Plan - Cumulative
ICICI Prudential Mutual Fund,Others,Income,121442,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - D - Direct Plan - Dividend
ICICI Prudential Mutual Fund,Others,Income,127238,ICICI Prudential Interval Fund - Series VII - Annual Interval Plan - C - Cumulative
ICICI Prudential Mutual Fund,Others,Income,127236,ICICI Prudential Interval Fund - Series VII - Annual Interval Plan - C - Direct Plan - Cumulative
ICICI Prudential Mutual Fund,Others,Income,127235,ICICI Prudential Interval Fund - Series VII - Annual Interval Plan - C - Dividend
ICICI Prudential Mutual Fund,Others,Income,123597,ICICI Prudential Interval Fund II - Quarterly Interval Plan A - Direct Plan - Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,106828,ICICI Prudential Interval Fund II - Quarterly Interval Plan A - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,106829,ICICI Prudential Interval Fund II - Quarterly Interval Plan A - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,123645,ICICI Prudential Interval Fund II Quarterly Interval Plan A -  Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,120641,ICICI Prudential Interval Fund II Quarterly Interval Plan A - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,Others,Income,120642,ICICI Prudential Interval Fund II Quarterly Interval Plan A - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,110664,ICICI Prudential Interval Fund II Quarterly Interval Plan A - Dividend
ICICI Prudential Mutual Fund,Others,Income,110663,ICICI Prudential Interval Fund II Quarterly Interval Plan A - Growth
ICICI Prudential Mutual Fund,Others,Income,117368,ICICI Prudential Interval Fund II Quarterly Interval Plan A - Retail Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,106885,ICICI Prudential Interval Fund II - Quarterly Interval Plan B - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,106886,ICICI Prudential Interval Fund II - Quarterly Interval Plan B - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120644,ICICI Prudential Interval Fund II Quarterly Interval Plan B - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,Others,Income,120643,ICICI Prudential Interval Fund II Quarterly Interval Plan B - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,111317,ICICI Prudential Interval Fund II Quarterly Interval Plan B - Dividend
ICICI Prudential Mutual Fund,Others,Income,111316,ICICI Prudential Interval Fund II Quarterly Interval Plan B - Growth
ICICI Prudential Mutual Fund,Others,Income,118037,ICICI Prudential Interval Fund II Quarterly Interval Plan B - Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,106977,ICICI Prudential Interval Fund II - Quarterly Interval Plan C - Retail Dividend
