fund_house,scheme_type,scheme_category,scheme_code,scheme_name
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,131445,UTI Ultra Short Duration Fund - Regular Plan - Monthly IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,133873,UTI Ultra Short Duration Fund - Regular Plan - Quarterly IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,102531,UTI Ultra Short Duration Fund - Regular Plan - Weekly IDCW (Reinvestment)
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147316,WhiteOak Capital Ultra Short Duration Fund- Direct plan-Daily Reinvestment of Income Distribution cum capital withdrawal option (IDCW)
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147315,WhiteOak Capital Ultra Short Duration Fund- Direct plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147311,WhiteOak Capital Ultra Short Duration Fund- Direct plan-Growth Option
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147312,WhiteOak Capital Ultra Short Duration Fund- Direct plan-Monthly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147313,WhiteOak Capital Ultra Short Duration Fund- Direct plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147308,WhiteOak Capital Ultra Short Duration Fund- Regular plan-Daily Reinvestment of Income Distribution cum capital withdrawal option (IDCW)
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147309,WhiteOak Capital Ultra Short Duration Fund- Regular plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147307,WhiteOak Capital Ultra Short Duration Fund- Regular plan-Growth Option
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147314,WhiteOak Capital Ultra Short Duration Fund- Regular plan-Monthly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)
WhiteOak Capital Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147310,WhiteOak Capital Ultra Short Duration Fund- Regular plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)
