Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %
Parag Milk Foods,199.2,36.3,2338.13,0,21.42,108.98,749.59,8.49,8.57,FMCG,2.89,3.48,0.74,7.83,41.63,3.79,0,43.92,2918.83,11.74,68.83,4.42,0.92,0,6,3,1.89,1.9,41.63,8.15,21.23,3.72,,107.47,6.64,92.95,87.37,23.97,21.23,90.11,42.27,8.75,-1.48,7.2,3.36
Prataap Snacks,939.95,107.96,2204.47,0.11,21.61,813.2,386.63,6.96,1.15,FMCG,3.26,2.25,0.09,3.14,69.97,0.37,0,43.92,2235.23,2.35,288.34,8.78,0.69,0,8,3,1.82,1.34,69.97,1.21,3.09,3.72,,16.86,0.91,237.03,12.73,31.79,3.09,41.42,15.68,3.37,-0.15,11,-0.23
Agro Tech Foods.,821.7,103.22,2002.48,0.37,4.54,1963.64,187.34,0.55,4.55,FMCG,4.12,2.47,0.13,3.26,51.77,1.46,0,43.92,2057.34,2.44,199.46,2.99,0.83,0,5,3,1.36,1.29,51.77,3.54,29.72,3.72,,82.24,4.71,189.02,115.52,40.74,29.72,126.55,29.39,7.89,0.01,10.43,0.45
Vadilal Inds.,2631.4,16.06,1891.98,0.06,71.01,43.57,410.91,5.04,25.57,FMCG,4.76,13.52,0.73,28.44,64.73,8.02,0.26,43.92,2145.39,0.72,552.7,2.88,0.51,0,7,5,1.45,1.84,64.56,16.28,26.72,3.72,,82.01,20.53,1427.86,134.82,58.42,26.72,166.51,35.25,0.03,-0.06,0,0
SKM Egg Prod.,508.35,12.85,1338.49,0.49,35.3,417.62,210.23,58.14,46.42,FMCG,6.88,26.57,0.45,48.23,55.56,11.02,0,43.92,1367.52,2.63,73.93,3.88,1,79.69,8,7,2.32,1.47,55.56,30.95,20.9,3.72,,73.81,44.49,256.68,109.07,22.79,20.9,110.96,44.08,0.37,-0.21,0,0
AVT Natural Prod,81.35,20.34,1238.96,1.23,8.35,-66.4,102.82,-30.84,25.03,FMCG,2.88,15.63,0.09,18.99,75,6.94,0,43.92,1253.2,15.23,28.26,1.4,2.22,0,6,4,1.2,1.13,75,19.45,76.11,3.72,,193.93,16.66,50.43,373.33,44.45,76.11,341.66,24.92,0.07,-0.01,0.02,0
Mishtann Foods,11.99,24.02,1199,0.03,68.91,524.75,293.94,85.72,,FMCG,11.16,,0.91,,49.82,6.63,0,43.92,1233.79,100,1.07,,1.29,,0,3,,,49.82,,,3.72,,,101.16,3.47,,,,,48.62,1.58,0.45,0,0
GRM Overseas,183.65,21.45,1101.9,0.25,15.68,-12.26,297.32,-5.09,15.66,FMCG,4.32,7.57,1.59,23.32,71.72,6.07,0,43.92,1507.16,6,42.51,4.19,0.82,0,4,2,1.78,2.78,71.72,10.17,115.59,3.72,,180.18,12.02,90.5,198.02,25.34,115.59,107.77,28.28,0,-0.07,0,0
Chamanlal Setia,202.25,8.52,1046.31,0,27.47,23.35,263.35,-35.74,26.19,FMCG,1.72,16.35,0.2,23.12,73.89,15.27,0,43.92,1121.37,5.17,117.61,2.85,1.65,0,7,7,1.93,1.18,73.89,17.07,40.5,3.72,,142.89,20.94,250.7,180.47,2.96,40.5,142.93,24.26,1.85,0.68,0,-0.03
Foods & Inns,183.75,19.45,984.85,0.14,14.34,104.27,288.41,31.14,16.19,FMCG,3,6.3,1.1,17.14,28.76,7.79,10.7,43.92,1309.95,5.36,61.32,2.58,0.51,0,5,5,1.44,2.22,25.68,11.11,55.14,3.72,,140.63,12.58,121.08,163.69,64.79,55.14,173.35,70.41,0.62,0.18,0.21,0.21
Wardwizard Foods,42.06,,893.94,0,-6.65,-4333.33,4.26,,-7.89,FMCG,6.88,-8.39,0.25,-10.29,52.82,-1.52,0,43.92,892.79,21.25,6.11,12.66,11.14,0,1,2,0.07,0.89,52.82,-6.08,259.49,3.72,,1354.97,-8.71,,117.15,200.8,259.49,58.46,47.19,0,,0,
Krishival Foods,283.5,82.77,561.19,0.06,4.37,1450,45.33,105.82,18.39,FMCG,11.5,10.37,0.2,14.89,41.88,1.8,0,43.92,567.63,1.98,24.66,2.71,7.53,0,7,5,1.07,1.34,41.88,10.25,22.46,3.72,,292.87,13.39,43.56,203.14,8.13,22.46,188.8,51.27,11.55,11.55,0,0
Annapurna Swadi.,328.6,75.58,539.63,0,4.27,,94.56,,23.42,FMCG,9.03,10.01,0.4,20.94,51.85,2.11,0,43.92,556.53,1.64,36.39,5.9,1,0,5,4,2.24,1.19,51.85,12.22,45.32,3.72,,86.6,10.49,59.66,84.25,60.3,45.32,99.23,47.77,0.37,-1.74,0,-0.33
Kaya Ltd,368.85,,481.87,0,-10.38,59.8,105.69,13.85,-43.69,FMCG,,-32.09,,,59.93,-9.41,0,48.04,676.57,1.31,-79.42,0.65,0.37,0,5,4,1.03,-3.52,59.93,-58.91,3.43,5.05,,-137.75,-17.21,,3.43,,3.43,,37.94,0.8,0.07,1.34,0
Sheetal Cool,404.05,19.53,424.25,0,8.12,18.37,135.14,12.22,21.52,FMCG,4.53,9.68,0.92,24.5,65.59,7.33,0,43.92,508.09,1.05,89.23,1.6,0.06,0,7,5,1.61,2.26,65.59,13.89,3.39,3.72,,145.76,16.42,203.79,233.06,39.74,3.39,269.41,34.41,0,-0.03,0,0
Sarveshwar Foods,131.7,48.29,381.5,0,2.9,3.94,187.68,-4.93,8.09,FMCG,1.51,1.51,1.35,4.13,54.91,6.07,0,43.92,669.17,2.46,86.95,2.53,0.89,0,7,1,1.34,2.42,54.91,5.45,93.28,3.72,,255.85,7.25,79.32,235.6,17.15,93.28,159.47,41.34,3.75,1.25,0,0
Lotus Chocolate,290.9,,373.52,0,-0.18,-150,24.74,10.05,-40.59,FMCG,,-28.1,6.68,-139.03,72.07,-1.71,0,43.92,378.79,1.28,-5.09,5.94,0.6,0,4,2,2.93,25.2,72.07,-85.01,25.72,3.72,,25.08,-42.2,,24.62,46.98,25.72,45.87,27.9,0.01,0,0.01,0
Proventus Agro,1040.25,99.59,356.55,0,,,,,8.09,FMCG,,3.62,0.65,6.78,70.84,1.87,0,43.92,376.67,0.34,,10.49,1.45,0,5,1,4.13,1.92,70.84,7.09,17.02,3.72,,54.85,6.97,,40.04,11.77,17.02,34.8,29.16,0,,0,
Euro India Fresh,143.55,265.67,356,0,0.44,41.94,27.88,-26.38,5.03,FMCG,5.52,1.02,0.6,1.89,73.5,1.35,0,43.92,394.39,2.48,26,1.48,0.58,0,6,4,1.2,1.84,73.5,3.48,57.31,3.72,,182.33,4.37,17.78,261.85,41.98,57.31,246.52,,,,,
Megastar Foods,308.4,40.54,308.51,0,1.97,40.71,56.83,-2.29,21.9,FMCG,6.76,10.41,1.27,23.6,68.39,4.57,0,43.92,363.11,1,45.62,9.6,0.77,2.39,7,4,2.9,2.02,68.39,16.18,32.72,3.72,,60.15,15.09,102.21,65.36,4.72,32.72,37.36,31.58,0.03,0.03,0,0
Ovobel Foods,285.7,6.54,300.01,0,10.58,199.72,49.08,0.93,80.85,FMCG,5.09,49.98,0.49,99.23,75.08,22.49,0,43.92,280.88,1.05,56.1,8.16,1.78,0,9,7,2.83,1.33,75.08,51.7,29.45,3.72,,44.51,62.86,234.84,69.9,7.06,29.45,47.51,24.91,0,0,0.01,0
Milkfood,594.1,28.99,290.51,0.42,-1.38,24.59,94.46,17.85,9.29,FMCG,2.18,2.99,0.92,7.41,50.1,5.64,0,43.92,411.8,0.49,272.25,9.18,0.64,0,5,3,1.48,2.38,50.1,6.57,24.93,3.72,,62.2,7.07,357.76,48.68,39.35,24.93,63.1,42.19,7.64,0,0.06,0
Bambino Agro Ind,329.35,27.39,263.81,0.49,3.18,14.8,76.76,21.15,11.87,FMCG,3.16,4.68,0.96,11.57,74.96,5.93,0,43.92,340.25,0.8,104.39,2.77,0.44,0,3,4,1.54,2.35,74.96,8.68,16.14,3.72,,87.08,10.02,168.05,146.12,5.5,16.14,135.48,25.03,0,0,0,0
Raghuvansh Agro.,203.65,53.58,242.7,0,3.14,,2.62,,10.47,FMCG,4.6,8.53,0.02,8.99,21.11,2.26,0,43.92,236.49,1.19,44.3,5.47,36.41,0,7,0,0.13,1.01,21.11,9.71,51.45,3.72,,1767.6,9.68,63.69,112.78,1.5,51.45,62.83,78.9,0,0,0,0
Dangee Dums,12.7,,195.55,0,0.02,105,5.71,5.94,4.75,FMCG,11.4,-1.35,1.51,-3.61,64.45,1.23,0,43.92,221.12,15.4,1.11,5.79,0.11,0,8,5,0.55,2.72,64.45,9.27,2.29,3.72,,11.15,6.01,,46.75,33.87,2.29,78.34,,,,,
Aveer Foods,453,76.67,182.48,0,0.61,181.33,25.95,-10.08,8.36,FMCG,11.23,2.55,0.49,6.48,72.52,1.84,0,43.92,189.82,0.4,40.34,2.22,0.09,0,8,4,2.4,2.46,72.52,8.33,0.38,3.72,,60.76,9.15,73.23,134.16,45.37,0.38,179.15,27.48,0,0,0,0
Freshtrop Fruits,182,9.09,181.81,0,12.96,819.15,106.24,0.19,11.82,FMCG,2.21,5.03,0.26,10.19,63.22,14.49,0,43.92,199.18,1,82.53,2.46,0.7,0,9,5,1.47,2.04,63.22,8.98,56.64,3.72,,82.61,17.27,192.8,111.49,94.62,56.64,149.47,36.79,0,-0.19,0,0
Umang Dairies,74.8,,164.58,0,-2.47,-187.21,80.02,43.56,0.38,FMCG,3.75,-2.07,1.29,-7.2,74.61,-0.71,0,43.92,218.5,2.2,19.94,3.46,0.16,0,7,3,1.86,3.59,74.61,0.25,5.62,3.72,,43.49,-0.94,,96.9,51.38,5.62,142.65,25.39,0,0,0,0
Mohini Health,89.55,24.05,163.3,0,1.66,,92.86,,11.66,FMCG,1.82,4.58,0.31,8.19,62.33,7.72,0,48.04,191.2,1.82,49.19,5.6,1.73,66.93,6,3,1.28,1.79,62.33,7.42,74.82,5.05,,146.57,10.67,64.19,129.06,10.93,74.82,65.17,34.18,0.05,0,0,0
JHS Sven.Lab.,23.8,41.94,154.46,0,-3.03,28.83,19.03,-10.7,-1.18,FMCG,0.9,0.76,0.02,0.9,42.23,-2.9,0,48.04,118.24,6.49,26.57,5.1,2,0,6,2,0.42,1.33,42.23,-1.4,78.42,5.05,,51.52,-1.45,,36.03,117.92,78.42,75.53,57.78,0,0,0,0
Flex Foods,114.8,,142.93,0.44,-2.47,-259.35,26.95,-3.13,0.68,FMCG,1.4,-3.12,2.31,-9.83,59.85,-0.3,0,43.92,375.63,1.25,81.94,1.56,0.66,0,3,1,0.34,3.33,59.85,0.53,93.89,3.72,,172.9,-0.29,,380.38,315.04,93.89,601.53,40.15,0,0,0,0
Himalaya Food,22.86,,132.3,0,0.55,-85.33,10.5,-33.16,15.19,FMCG,0.99,11.6,0,19,50.53,-16.03,22.22,43.92,131.73,5.79,23.01,1.72,0.39,66.3,6,3,0.28,1.81,39.3,89.82,163.68,3.72,,-215.2,-9.46,,19.14,330.49,163.68,185.95,49.46,0,0,0,0
Kohinoor Foods,35.3,,130.86,0,-1.04,-167.97,25.62,20.17,3.31,FMCG,,-5.08,,,37.67,0.97,0,43.92,836.06,3.71,-139.58,4.26,0.05,0,4,3,0.39,-0.41,37.67,3.03,54.92,3.72,,84.06,3.82,,50.69,92.28,54.92,88.04,62.32,0,-0.15,0,0
Lykis,67.38,8.14,130.55,0,1.19,33.71,91.6,6.2,17.7,FMCG,4.73,9.84,5.2,79.87,67.49,10.5,0,8.14,269.98,1.94,14.24,26.34,1.06,0,7,4,2.84,5.79,67.49,12.42,99.96,4.73,,129.08,15.35,51.49,106.38,8.41,99.96,14.84,32.52,0,0,0,0
Srivari Spices &,136.65,31.18,97.6,0,,,,,34.96,FMCG,,17.22,1.41,44.43,69.94,4.7,0,43.92,110.42,0.71,,4.95,0.98,0,5,1,1.97,2,69.94,17.26,117.32,3.72,,171.95,20.2,,201.84,36.18,117.32,120.7,,,,,
Vistar Amar,270.45,27.3,86.54,0,1.29,0.78,20.81,12.67,36.67,FMCG,6.63,19.88,0.03,27.63,65.62,5.02,0,43.92,86.11,0.32,40.81,16.45,2.24,0,5,5,4.02,1.22,65.62,23.98,49.94,3.72,,57.11,24.67,95.38,59.93,28.78,49.94,38.77,34.38,0,0,0,0
Pee Cee Cosma,325.75,18.02,86.32,0.31,2.43,1925,36.74,10.73,10.1,FMCG,2.84,5.3,0.35,8.51,74.56,7.5,0,25.04,96.68,0.26,114.76,7.01,0.15,0,9,4,2.65,1.55,74.56,10.6,1.99,3.06,,32.39,15.51,216.19,55.02,5.13,1.99,58.15,25.43,0,0,0,0
Saboo Sodium,20.39,,85.58,0,0.53,-70.22,11.79,2.61,4.38,FMCG,1.85,0.28,0.39,0.48,48.59,1.27,0,43.92,93.62,4.2,11.04,1.56,12.49,0,6,4,0.78,1.37,48.59,2.08,83.63,3.72,,236.7,1.73,,316.66,32.04,83.63,265.07,51.32,0,0,0.08,0
Kovil. Lak. Rol.,148.2,8.28,82.12,1.21,2.67,-12.46,79.91,2.36,20.18,FMCG,1.41,8.45,0.68,19.32,57.18,15.3,0,43.92,121.88,0.55,105.24,5.03,0.59,0,8,6,2.72,2.09,57.18,14.39,17.3,3.72,,53.94,15.49,205.89,73.55,15.71,17.3,71.96,42.8,0,0,0.01,0
Kothari Ferment.,54.51,,81.77,0,-2.69,-1134.62,25.62,8.65,3.02,FMCG,1.34,0.15,0.74,0.31,74.91,0.21,0,43.92,126.26,1.5,40.57,3.95,0.43,0,7,4,0.85,2.14,74.91,2.22,25.85,3.72,,66.63,0.21,,92.41,78.5,25.85,145.06,25.09,0,0,0,0
Virat Crane Inds,39.67,14.39,81.01,0,1.78,-1.11,32.63,10.87,14.91,FMCG,1.5,11.72,0.12,15.2,74.5,10.17,0,43.92,87.01,2.04,26.41,5.81,0.56,0,5,3,1.7,1.35,74.5,26.82,25.29,3.72,,45.54,11.83,,49.15,50.51,25.29,74.38,25.5,0,0,0,0
Anjani Foods,27.72,63.5,77.47,0,0.2,81.82,10.42,6.87,11.28,FMCG,5.87,3.62,0.59,9,75,2.72,0,43.92,84.92,2.79,4.72,6.35,0.63,0,6,5,1.39,2.38,75,6.15,10.41,3.72,,29.66,7.28,6.81,22.15,46.34,10.41,58.08,25,0,0,0.01,0
Goel Food,190,17.78,71.64,0,2.57,,14.18,,20.33,FMCG,4.16,9,1.87,40.96,73.41,7.92,0,43.92,102.16,0.38,45.62,36.36,0.67,0,4,4,0.5,4.55,73.41,28.29,2.92,3.72,,18.47,14.47,104.74,-56.4,69.35,2.92,10.04,26.58,0,0,0,0
Sunil Agro Foods,234.85,78.29,70.46,0.21,0.18,12.5,51.49,17.34,7.9,FMCG,4.41,1.25,2.34,5.71,72.3,3.96,0,43.92,107.74,0.3,53.28,5.29,0.32,0,6,3,2.94,4.45,72.3,6.4,29.01,3.72,,62.6,5.62,59.94,66.75,38.58,29.01,76.32,26.36,1.33,0,0,0
Tapi Fruit,174.7,,68.37,0,0.25,,11.88,,-0.87,FMCG,8.71,-2.24,0.06,-41.86,67.79,-0.07,0,43.92,68.81,0.39,20.06,5.74,2.35,0,1,3,2.55,18.67,67.79,-0.79,24.74,3.72,,32.39,-0.52,,39.17,49.14,24.74,63.58,32.21,0,0,0,0
Nakoda Group,45.95,75.24,63.95,0.33,0.16,-27.27,9.29,6.17,8.63,FMCG,4.07,2.19,1.4,5.72,65.82,3.97,12.28,43.92,85.6,1.39,11.29,2.58,0.6,0,6,3,1.32,2.64,57.74,6.54,32.29,3.72,,176.42,8.2,12.45,165.59,11.35,32.29,144.65,34.18,0,0,0,0
Naturite Agro,105.06,,55.64,0,-1.28,-811.11,1.97,-63.72,-0.9,FMCG,4.34,-2.45,0.65,-4.5,69.05,-2.85,0,43.92,63.95,0.53,24.21,0.64,0.51,0,1,2,0.32,1.88,69.05,-0.78,180.4,3.72,,589.33,-7.62,,730.92,36.3,180.4,586.82,30.94,0,0,0,0
NHC Foods,46.82,30.5,55.51,0,0.41,20.59,42.04,8.02,10.89,FMCG,2.18,2.63,1.06,7.17,41.01,7.39,0,43.92,79.54,1.19,21.5,5.37,0.79,0,6,3,2.44,2.63,41.01,6.67,44.23,3.72,,86.14,8.46,27.25,89.23,31.35,44.23,76.34,58.98,0,0,0,0
Saptarishi Agro,15.69,92.03,53.38,0,0.02,-50,4.45,-48.01,11.08,FMCG,10.09,2.15,0.06,11.98,74.98,1.06,0,43.92,53.66,3.4,1.55,12.78,0.98,0,5,0,1.39,5.26,74.98,12.47,191.93,3.72,,35.84,2.14,2.44,30.47,203.15,191.93,41.7,25.02,0,0,0,0
Modern Dairies,19.66,3.97,45.85,0,2.02,-23.4,82.71,88.84,,FMCG,,16.57,,,45.71,33.46,99.95,43.92,46.38,2.33,-41.13,7.33,0.13,0.88,8,4,2.94,-0.77,0.02,,31.98,3.72,,-216.57,18.24,,18.11,79.34,31.98,65.47,54.26,0,0,0.04,0
Ceeta Industries,31.4,,45.53,0,-1.28,-265.71,3.07,,-2.31,FMCG,1.74,-4.23,0.44,-5.35,71.91,-2.22,0,43.92,56.34,1.45,18,1.24,1.39,0,3,4,0.12,1.29,71.91,-2.9,24.51,3.72,,643.74,-3.17,,378.45,553.03,24.51,906.97,27.85,0,0,0.23,0
GKB Ophthalmics,90.2,,45.47,0,0.54,-73.2,22.26,24.78,2.35,FMCG,0.73,0.12,0.18,0.21,59.18,0.5,0,48.04,42.24,0.5,124.37,1.29,1.09,0,5,5,0.68,1.77,59.18,2.1,134.16,5.05,,183.1,0.19,,249.28,183.19,134.16,298.31,39.02,1.79,0,0,0
Walpar Nutrition,94,73.9,44.14,0,1.14,,18.62,,10.53,FMCG,3.65,2.92,0.88,5.43,71.46,3.56,0,43.92,53.9,0.47,25.79,4.06,1.03,6.54,7,2,1.25,2.56,71.46,11.12,94.63,3.72,,105.22,5.6,27.46,66.91,117.53,94.63,89.81,28.54,0,0,0,0
Standard Surfact,55.53,30.5,41.18,0,0.45,-31.82,29.52,-31.41,7.26,FMCG,1.69,2.71,1.06,7.02,63.02,5.16,0,25.04,55.76,0.74,32.91,17.54,1.4,0,3,1,2.65,2.36,63.02,5.13,65.78,3.06,,72.46,4.52,37.01,59.94,27.14,65.78,21.3,36.88,0,0,0.11,0
Apis India,74.5,1.62,41.05,0,8.92,403.95,78.92,15.8,10.59,FMCG,0.36,7.19,0.63,17.28,74.72,24.47,0,43.92,112.85,0.55,209.69,2.22,0.8,43.86,8,7,1.31,2.2,74.72,7.87,86.26,3.72,,145.73,10.93,466.44,165.78,73.01,86.26,152.53,25.28,0,0,0,0
Chordia Food,101,131.26,40.69,0,0.17,240,0.81,14.08,2.47,FMCG,2.94,1.09,0.06,1.27,72.34,1.46,0,43.92,39.64,0.4,34.35,,2.87,0,8,4,0.17,1.2,72.34,1.75,109.76,3.72,,191.43,3.55,24.47,109.76,,109.76,,27.66,0,0,0,0
Sampre Nutrition,53.95,,37.06,0,-0.79,-339.39,7.43,-9.28,6.58,FMCG,1.75,0.86,0.79,2.17,37.03,2.48,0,43.92,53.7,0.69,30.8,2.15,1.06,0,6,3,0.91,1.92,37.03,5.62,73.47,3.72,,133.57,3.05,,150.26,92.15,73.47,168.94,62.25,0.73,0,0,0
Sanwaria Consum.,0.5,,36.81,0,-1.65,4.07,0,,-2.03,FMCG,,-1.6,,,15.34,-0.69,0,43.92,934.04,73.61,-7.96,0,0.27,,5,2,0,-0.6,15.34,-1.84,,3.72,,,-1.85,,,,,,84.65,0,0,0,0
Ravalgaon Sugar,5058.4,,34.4,0,-0.94,-46.88,1.85,-13.55,-14.15,FMCG,13.03,-16.69,4.54,-93.4,53.3,-5.26,0,43.92,46.35,0.01,388.24,2.27,0.15,0,5,3,0.46,8.03,53.3,-23.43,5.28,3.72,,-60.02,-11.56,,70.38,99.97,5.28,165.06,46.65,0,0,0.05,0
Oceanic Foods,29.95,13.21,33.69,0,0.08,-90.7,32.74,8.27,12.93,FMCG,1.19,5.09,0.42,9.46,74.07,11.24,0,43.92,45.65,1.12,25.15,7.6,1.15,0,9,3,2.47,1.77,74.07,9.81,64.18,3.72,,80.66,9.95,36.64,102.51,14.3,64.18,52.64,25.95,0,0,0,0
Prospect Commod.,75,55.78,30.68,0,0.53,,7.71,,11100,FMCG,2.82,5500,0.11,5500,61.94,3.67,0,43.92,30.22,0.41,26.62,,6.12,,2,4,1269,1,61.94,7631.25,0,3.72,,0,8.07,28.38,0,,0,0,38.06,0,,0,
Tasty Dairy,14.33,,29.28,0,-4.28,-100,21.52,-18.67,-3.35,FMCG,0.94,-9.12,2.05,-31.42,64.19,-6.7,46.73,43.92,92.8,2.04,15.24,3.52,1.05,0,7,2,1.06,3.36,34.19,0.65,98.04,3.72,,196.04,-6.07,,183.48,20.91,98.04,106.35,35.81,0,0,0,0
Narmada Agrobase,19.45,38.75,26.35,0,0.11,37.5,7.95,0.51,6.84,FMCG,1.66,2.4,0.63,4.14,66.47,5.07,40.51,43.92,35.87,1.35,11.72,5.67,1.31,0,6,3,1.85,1.71,39.54,5.04,96.45,3.72,,155.98,6.66,11.5,165.15,7.25,96.45,75.95,33.53,0,0,0,0
Hipolin,79.24,,24.8,0,-0.38,7.32,4.42,16.93,-9.44,FMCG,2.02,-7.31,0.06,-10.95,73.73,-3.37,0,25.04,25.2,0.31,39.31,12.76,1.06,0,5,5,1.22,1.03,73.73,-30.07,46.92,3.06,,38.71,-5.72,,43.32,43.11,46.92,39.52,26.27,0,0,0,0
Spectrum Foods,51,18.32,24.73,0,2.47,33.51,5.33,30,21.34,FMCG,,3.02,,,42.03,6.25,49.07,43.92,25.77,0.48,-0.02,2.44,0.13,0,8,3,1.03,-1525.5,21.4,376.67,29.51,3.72,,-186.1,11.6,,-200.16,342.15,29.51,112.49,57.97,0,0,0,0
Swojas Energy,7.15,,22.14,0,0,-100,0,,0.29,FMCG,,0.26,0,0.29,75,-0.05,0,55.76,21.71,,,,1.43,,5,1,0,1.11,75,6.25,,38.46,,,-0.26,,,,,,24.32,0,0,0.68,0
Paramount Cosmet,41.06,90.59,19.93,0,0.05,0,4.73,-10.92,6.08,FMCG,0.99,0.47,0.62,1.05,74.78,6.42,0,48.04,31.92,0.49,41.67,0.87,0.51,0,9,3,0.6,2.2,74.78,4.5,85.1,5.05,,159.82,4.77,20.61,402.9,78.17,85.1,395.97,25.18,0,0,0.03,0
Shanti Overseas,16.1,,17.88,0,-0.42,80.73,7.25,-92.68,-67.1,FMCG,1.15,-50.05,0.1,-70.7,52.39,-113.27,0,43.92,17.64,1.11,13.97,35.6,8.52,0,6,4,4.41,2.18,52.39,-147.19,15.55,3.72,,19.16,-109.9,,14.52,1.63,15.55,0.6,,,,,
Ador Multi Prod.,35.7,,16.68,0,-1.55,32.9,3.25,-11.68,-49.29,FMCG,1.1,-42.65,0,-50.67,38.55,-48.86,0,48.04,16.68,0.47,32.57,1.8,0.43,0,3,5,0.57,1.4,38.55,-112.37,39.59,5.05,,-9.3,-43.1,,1.53,239.78,39.59,201.72,61.43,0,0,0.02,0
Novateor Resear.,32,386.75,15.47,0,0.03,,0.44,,0.87,FMCG,1.96,0.49,0.11,0.51,60.87,0.43,0,48.04,16.11,0.48,16.3,1.92,18.39,0,4,2,0.15,1.04,60.87,0.88,124.56,5.05,,1613.53,0.79,5.51,303.26,11.41,124.56,190.1,39.13,0,0,0,0
KCK Industries,25,10.5,13.75,0,1.2,,66.03,,15.26,FMCG,1.41,2.99,3.58,24.21,56.66,6.76,0,43.92,53.69,0.55,17.67,4.16,0.15,0,3,4,2.17,8.1,56.66,11.4,25.34,3.72,,44.61,5.86,30.77,28.07,85.03,25.34,87.76,43.34,0,0,0,0
Sonalis Consumer,67.69,,13.53,0,,,,,0.7,FMCG,,0,3.03,0,38.59,0.19,0,43.92,20.74,0.2,,-1.97,1.28,0,0,2,1.04,2.23,38.59,0,48.14,3.72,,557.02,0.32,,48.14,,48.14,,61.4,0,,0,
Advance Petroch.,146,262.8,13.14,0,-0.31,-153.45,8.21,-16.48,20.35,FMCG,3.73,6.04,2.04,30.87,44.32,5.94,0,25.04,19.85,0.09,39.11,4.53,0.46,0,6,3,2.38,4.42,44.32,14.8,35.92,3.06,,44.78,7.51,22.11,54.46,57.52,35.92,76.07,55.68,0,0,0,0
IB Infotech,100.8,11.23,12.91,0.5,0.34,525,2.36,,104.52,FMCG,11.32,85.55,0,95.48,63.96,10.69,0,43.92,12.54,0.13,8.9,,5.36,0,7,5,3.46,0.76,63.96,63.79,0,3.72,,29.3,103.08,42.41,0,,0,0,36.04,0,0,0,0
Chothani Foods,20,79.38,10.32,0,0.08,,4.9,,4.99,FMCG,1.52,1.15,0.07,1.95,48.45,3.89,0,43.92,10.79,0.52,13.2,1.83,1.36,0,6,1,0.73,1.69,48.45,3.89,224.34,3.72,,327.61,3.28,8.65,285,139.32,224.34,199.98,51.54,0,0,0,0
Mahaan Foods,27.82,31.42,9.74,0,0,-100,0,,4.26,FMCG,0.52,3.08,0,3.13,54.16,-6.74,0,43.92,-8.01,0.35,53.76,,46.59,,4,1,0,1,54.16,3.08,,3.72,,,2.81,32.73,,,,,45.67,0,0,0.18,0
Shah Foods,161.3,,9.68,0,-0.03,50,0,,-40.78,FMCG,,-29.79,,,47.19,-1.71,0,43.92,10.5,0.06,-7.53,,3.33,,1,3,0,-1.57,47.19,-50,,3.72,,,-30,,,,,,52.82,0,0,0,0
Kore Foods,7.17,,8.35,0,-0.11,8.33,0,,-440,FMCG,,-205.13,,,50.3,-3.65,0,43.92,11.78,1.17,-2.85,,0.05,0,3,1,0,-0.06,50.3,-366.67,,3.72,,,-195.45,,,,,,49.47,0.01,0,0.22,0
Tarai Foods,4.37,,7.75,0,-0.1,-150,0,-100,-62.07,FMCG,,-16.51,,,46.59,-5.99,0,43.92,10.51,1.77,-1.3,4.95,0.23,0,2,2,0.17,-1.24,46.59,-67.16,7.77,3.72,,-1203.72,-24.61,,7.77,,7.77,0,53.22,0,0,0.18,0
Super Bakers (I),23.02,24.82,6.95,0,0.07,0,0,,8.83,FMCG,1.61,6.33,0,6.68,22.31,10.73,0,43.92,3.54,0.3,14.33,,17.64,,6,2,0,1.02,22.31,6.43,,3.72,,,8.35,17.29,,,,,77.69,0,0,0,0
ANS Industries,6.11,,5.66,0,-0.23,46.51,0,,-16.97,FMCG,1.01,-14.88,0.29,-25.76,52.99,-21.3,0,43.92,7.09,0.93,6.04,,0.56,,3,4,0,1.99,52.99,-27.9,,3.72,,,-15.07,,,,,,45.24,0,0,1.77,0
Inceptum Enterp.,10.33,,4.25,0,-0.01,50,0,,-1.85,FMCG,3.19,-0.88,0.61,-2.96,15.58,-0.79,0,43.92,5.04,0.41,3.23,,1.38,,2,5,0,3.41,15.58,-1.97,,3.72,,,-0.88,,,,,,84.42,0,0,0,0
Madhur Inds,5.6,,2.29,0,-0.06,14.29,0,,-8.66,FMCG,0.43,-7.03,0.04,-8.67,34.36,-22.86,0,43.92,2.1,0.41,12.93,1.4,4.1,0,3,3,0,1.29,34.36,-11.58,,3.72,,,-7.21,,,1077.62,,86.9,65.53,0,0,0.11,0
