Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %
GHCL,607.65,5.57,5808.27,2.88,426.33,-8.99,1016.89,-11.44,35.53,Chemicals,1.47,21.47,0.09,31.5,19.06,23.05,1.1,31.84,6029.86,9.56,413.78,2.85,3,0,7,7,0.9,1.28,18.85,27.72,17.54,3.39,,167.48,27.08,1079.98,141.91,52.61,17.54,176.98,44.12,26.04,0.95,10.78,-0.01
Elantas Beck,7169.8,51.36,5685.65,0.07,35.42,72.19,173.35,1.42,21.55,Chemicals,8.61,13.4,0,16.23,75,2.63,0,31.84,5628.58,0.79,832.55,5,5.81,0,8,4,0.97,1.12,75,39.15,57.97,3.39,,50.55,18.81,1676.58,62.8,67.98,57.97,72.81,12.76,0.74,-0.06,11.5,0.06
Gujarat Alkalies,731.95,33.27,5375.44,3.22,-57.16,-129.95,912.81,-19.1,10.8,Chemicals,0.88,5.02,0.1,6.81,46.28,6.58,0,17.27,5489.06,7.34,835.99,6.46,1.13,0,6,3,0.55,1.33,46.28,8.5,23,2.12,,18.1,4.33,643.34,14.99,119.41,23,111.41,50.22,1.98,-0.09,1.51,0
Rossari Biotech,855.95,43.85,4727.18,0.06,29.22,1.88,410.61,-5.54,18.45,Chemicals,5.16,8.17,0.08,12.45,68.43,3.6,0,31.84,4676.54,5.52,165.93,6.3,1.46,0,5,3,1.26,1.43,68.43,12.74,77.96,3.39,,57.91,12.35,270.14,78.98,57.71,77.96,58.73,7.73,6.12,-1.34,17.71,2.62
Privi Speci.,1175.3,1050.58,4591.04,0.17,4.51,-79.83,408.72,5.12,5.54,Chemicals,5.54,0.95,1.3,2.64,74.05,1.57,0,31.84,5645.38,3.91,212.04,1.53,0.36,0,4,1,0.7,2.75,74.05,3.91,67.1,3.39,,166.16,3.7,73.93,263.55,114.23,67.1,310.67,21.43,0.99,0.09,3.53,-0.22
Neogen Chemicals,1735.55,85.97,4328.34,0.17,11.42,2.7,170.12,15.02,13.16,Chemicals,8.97,5.4,0.77,10.86,60.19,2.24,0,31.84,4677.15,2.49,193.51,1.72,0.7,0,3,4,0.74,1.92,60.19,9.35,94.35,3.39,,204.86,9.94,296.49,222.51,147.09,94.35,275.24,15.63,4.3,0.17,19.87,-0.14
Epigral,1003.85,15.04,4171.01,0.5,31.68,-70.61,454.89,-14.63,32.07,Chemicals,3.9,15.51,0.65,33.4,71.37,9.88,0,17.27,4924.71,4.16,257.32,6.72,0.32,3.96,6,5,0.96,1.93,71.37,20.83,27.74,2.12,,14.93,20,621.55,61.02,36.07,27.74,69.36,27.39,1.16,-0.04,0.04,0.01
Tatva Chintan,1722.15,78.27,3817.16,0.12,9.5,-3.06,114.36,29.37,8.91,Chemicals,7.41,6.91,0.33,9.89,79.17,1.47,0,31.84,3942.66,2.22,232.26,1.5,0.64,71.82,3,2,0.6,1.37,79.17,12.95,72.72,3.39,,171.2,7.66,326.37,283.09,51.97,72.72,262.33,6.56,3.19,-0.35,11.07,-0.64
NOCIL,220,31.34,3666.21,1.36,34.3,-48.41,396.67,-22.05,13.41,Chemicals,2.36,8.04,0.01,9.89,33.84,4.45,10.43,31.84,3618.6,16.66,93.14,3.48,2.46,0,6,1,0.88,1.19,30.31,10.47,78.12,3.39,,108.26,8.66,121.29,142.93,52.33,78.12,117.14,56.04,5.44,0.05,4.68,-0.81
Advanced Enzyme,324.55,30.77,3629.25,1.23,29.38,63.88,147.28,21.6,12.43,Chemicals,2.94,8.03,0.03,9.23,46.52,4.65,0,31.84,3539.4,11.18,110.45,1.39,3.08,0,4,3,0.4,1.08,46.52,11.64,67.74,3.39,,116.63,11.67,160.96,344.02,67.07,67.74,343.35,24.02,21.89,0.03,7.58,1.85
Sudarshan Chem.,508.75,58.45,3521.94,0.98,266.96,218.79,608.11,9.74,6.27,Chemicals,4.25,1.89,1,5.4,35.82,2.87,0,49.95,4321.58,6.92,119.64,2.9,0.68,0,6,2,0.97,2.86,35.82,4.66,77.09,2.1,,81.42,5.21,344.18,73.19,135.71,77.09,131.8,46.41,3.49,0.37,14.29,0.11
Fineotex Chem,313.15,36.81,3468.09,0.26,26.13,29.89,132.23,-2.61,37.3,Chemicals,9.95,23.5,0.02,28.92,65.03,3.61,0,31.84,3415.8,11.07,31.48,6.13,2.77,23.13,9,4,1.36,1.09,65.03,33.88,71.59,3.39,,76.11,29.16,77.63,71.51,53.03,71.59,52.95,30.56,0.75,0.04,3.65,0
Grauer & Weil,137.45,25.63,3116.07,0.58,36.9,27.99,200.26,0.7,23.68,Chemicals,4.59,12.76,0.04,17.99,69.05,5.75,0,31.84,2853.18,22.67,29.96,4.17,2.24,0,8,5,1.1,1.31,69.05,17.28,68.34,3.39,,50.74,17.18,59.99,74.82,76.93,68.34,83.41,29.73,1.21,-0.19,0.02,-0.17
Gulf Oil Lubric.,585.1,11.71,2871.24,4.27,68.3,23.44,811.71,14.9,23.48,Chemicals,2.43,12.02,0.32,20.92,72,13.96,0,31.84,2590.28,4.91,240.41,3.94,1.42,0,6,7,1.55,1.64,72,17.93,49.89,3.39,,63.22,17.46,520.23,65.73,76.34,49.89,92.18,17.58,3.69,0.12,6.4,-0.62
Camlin Fine,173.6,51.5,2727.14,0,12.01,233.61,419.6,9.34,10.24,Chemicals,3.33,2.33,0.98,5.7,16.52,4.13,0,31.84,3428.45,15.71,52.16,2.17,0.66,84.13,4,2,0.88,2.34,16.52,4.99,66.11,3.39,,124.53,6.92,67.93,191.69,129.42,66.11,255,64.01,10.11,-0.07,9.31,-3.01
Thirumalai Chem.,229.35,58.08,2348.27,0.65,10.65,-82.26,522.66,-15.84,10.86,Chemicals,1.97,4.25,0.43,7.88,42.16,4.33,0,31.84,2317.74,10.24,116.41,5.79,0.85,0,3,5,1.01,1.77,42.16,9.62,17.45,3.39,,-9.88,4.25,101.7,-24.96,118.49,17.45,76.08,55.93,1.81,-0.33,0.1,0.09
Foseco India,3642.35,41.79,2327.46,0.69,27.66,72.92,120.95,21.25,27.67,Chemicals,9.12,14.48,0,20.68,74.98,3.4,0,31.84,2118.18,0.64,399.36,11.2,2.4,0,8,4,1.27,1.34,74.98,19.99,76.4,3.39,,10.86,18.57,956.97,-30.53,138.86,76.4,31.93,24.78,0.23,0.05,0,-0.02
Vidhi Specialty,455.9,64.63,2276.99,0.18,8.38,-23.82,79.67,-33.99,17.58,Chemicals,9.06,11.07,0.2,16.15,64.27,2.18,0,49.95,2319.8,4.99,50.33,4.4,2.03,0,6,2,1.18,1.36,64.27,17.92,91.04,2.1,,155.78,15.24,89.38,138.07,28.4,91.04,75.42,35.64,0.08,-0.01,0.01,0.01
S H Kelkar & Co.,163.85,32.62,2268.02,1.22,27.83,30.34,445.49,7.34,8.32,Chemicals,2.13,3.18,0.58,6.66,58.95,5.76,6.13,31.84,2820.75,13.84,76.89,1.71,0.82,0,6,2,0.75,2.1,55.34,5.16,94.84,3.39,,144.85,7.38,91.37,184.92,138.18,94.84,228.26,27.66,9.68,0.38,1.37,-1.41
DDev Plastiks,211.8,17.18,2191.71,0.47,37.81,164.04,638.1,18.8,32.38,Chemicals,4.44,11.3,0.11,23.49,74.84,9.07,0,31.84,2240.92,10.35,47.75,8.84,1.16,0,7,5,2.72,1.86,74.84,22.9,52.93,3.39,,48.08,22.29,115.09,40.54,49.37,52.93,36.98,25.01,0.14,0.14,0,0
GOCL Corpn.,431.5,22.82,2139.05,1.16,12.16,-92.32,197.22,-16.67,5.68,Chemicals,1.52,1.19,1.25,3.13,73.83,7.2,0,31.84,3827.09,4.96,284.33,3.98,2.03,90.2,3,3,0.27,2.39,73.83,5.24,35.38,3.39,,660.99,7.88,356.12,46.54,91.13,35.38,102.29,21.17,3.44,0.13,1.26,0
Paushak,6763.25,41.43,2084.51,0.26,9.14,-20.87,48.61,-3.36,20.51,Chemicals,5.89,12.89,0,15.27,66.97,3.24,0,31.84,2083.56,0.31,1147.56,2.94,2.44,0,7,3,0.54,1.1,66.97,24.82,90.21,3.39,,92.73,16.25,2079.13,148.7,121.75,90.21,180.24,33.01,0.02,0.01,0,0
Yasho Industries,1805.9,35.34,2058.58,0.03,14.55,-29.33,151.75,-17.28,22.34,Chemicals,8.68,11.36,1.37,31.3,71.54,3.99,0.04,31.84,2369.08,1.14,207.98,3.01,0.63,66,5,2,1.19,2.39,71.51,18.54,59.25,3.39,,119.26,14.59,489,138.55,63.79,59.25,143.09,28.33,0.13,0.01,0,0
Tide Water Oil,1154.6,17.97,2011.78,3.64,31.19,-7.5,473.74,7.96,19.78,Chemicals,2.63,10.73,0.01,15.44,57.28,8.03,0,31.84,1852.91,1.74,438.25,4.18,1.56,0,6,5,1.74,1.4,57.28,15.7,46.74,3.39,,59.5,13.55,795.99,72.97,63.5,46.74,89.72,37.33,0.83,0.01,2.1,-3.27
Vishnu Chemicals,330.1,15.04,1971.69,0.12,28.62,-15.97,300.73,-16.26,30.12,Chemicals,4.76,13.59,0.62,31.65,68.36,9.37,3.84,31.84,2253.45,5.97,69.38,3.19,0.71,0,8,5,1.41,2,65.74,22.02,47.48,3.39,,62.22,20.07,185.13,68.96,120.11,47.48,141.6,22.34,3.32,2.52,5.97,5.97
Tanfac Inds.,1880.05,28.61,1875.35,0.48,18.39,104.79,106.18,27.53,48.02,Chemicals,10.18,25.86,0,35.31,51.81,4.78,0,31.84,1862.67,1,184.74,5.14,2.15,0,5,6,1.73,1.18,51.81,31.51,49.43,3.39,,109.86,35.33,522.6,59.96,74.67,49.43,85.2,48.13,0,0,0.07,0
Sadhana Nitro,77.4,845,1850.55,0.16,0.05,-95.1,39.41,43.62,5.09,Chemicals,8.03,0.75,0.61,1.76,71.68,0.9,8.35,49.95,1980.34,23.91,9.64,0.65,0.88,0,4,2,0.34,1.89,65.7,2.71,166.94,2.1,,415.34,3.84,4.46,596.19,174.45,166.94,603.7,28.31,0,0,0.02,0
Jyoti Resins,1530.8,34.59,1836.96,0.39,15.74,73.54,61.18,-4.27,72.9,Chemicals,17.33,25.63,0,55.12,50.82,3.97,0,31.84,1806.08,1.2,88.32,16.19,1.26,0,8,4,1.44,1.71,50.82,58.76,127.78,3.39,,1.3,34.01,296.56,98.12,45.94,127.78,16.27,48.84,0.33,0,0,0
