Company Name,Count,Percentage Allocation,Asset Type,Symbol
Affle (India) Ltd.,3,3.99,Equity,AFFLE
Gujarat State Petronet Ltd.,3,3.98,Equity,FLUOROCHEM
Electronics Mart India Ltd.,4,3.96,Equity,BEL
Page Industries Ltd.,3,3.92,Equity,PAGEIND
Bosch Ltd.,4,3.91,Equity,BOSCHLTD
City Union Bank Ltd.,3,3.91,Equity,CUB
Honasa Consumer Ltd.,3,3.81,Equity,
Treasury Bill (182D),6,3.81,Others,
Teamlease Services Ltd.,5,3.79,Equity,TEAMLEASE
Bajaj Auto Ltd.,3,3.78,Equity,BAJFINANCE
Go Fashion (India) Ltd.,5,3.78,Equity,GODREJCP
Rainbow Childrens Medicare Ltd.,3,3.75,Equity,RAINBOW
SBI Cards & Payment Services Pvt. Ltd.,5,3.71,Equity,SBILIFE
J. K. Cement Ltd.,5,3.7,Equity,BAJFINANCE
Avenue Supermarts Ltd.,3,3.69,Equity,DMART
Archean Chemical Industries Ltd.,3,3.66,Equity,ACI
Century Textiles & Industries Ltd.,3,3.65,Equity,CENTURYPLY
Gateway Distriparks Ltd.,4,3.63,Equity,GATEWAY
Tata Motors - DVR - A - ORDY,3,3.62,Equity,TCS
Torrent Power Ltd.,3,3.62,Equity,TORNTPHARM
Siemens Ltd.,4,3.61,Equity,SIEMENS
Cera Sanitaryware Ltd.,3,3.6,Equity,KAJARIACER
Life Insurance Corporation of India,2,3.58,Equity,LICI
Five-Star Business Finance Ltd.,3,3.5700000000000003,Equity,FIVESTAR
Oil India Ltd.,3,3.57,Equity,ONGC
Amber Enterprises India Ltd.,2,3.55,Equity,AMBER
Balkrishna Industries Ltd.,4,3.5,Equity,BALKRISIND
Vedant Fashions Pvt. Ltd.,5,3.5,Equity,VEDL
Ashoka Buildcon Ltd.,2,3.48,Equity,ASHOKA
Whirlpool of India Ltd.,4,3.44,Equity,WHIRLPOOL
Nippon Life India Asset Management Ltd.,3,3.4,Equity,NAM-INDIA
PNB Housing Finance Ltd.,2,3.39,Equity,PNBHOUSING
Motherson Sumi Wiring India Ltd.,4,3.31,Equity,MOTHERSON
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),2,3.3,Equity,POONAWALLA
Prestige Estates Projects Ltd.,2,3.29,Equity,PRESTIGE
Mahindra Lifespace Developers Ltd.,3,3.23,Equity,KOTAKBANK
Gokaldas Exports Ltd.,3,3.23,Equity,GOKEX
Yatra Online Ltd.,3,3.2,Equity,
Oberoi Realty Ltd.,3,3.16,Equity,OBEROIRLTY
