fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Bajaj Finserv Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW
Bajaj Finserv Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth
Bajaj Finserv Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121936,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,127471,BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121934,BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121279,BANDHAN Banking & PSU Debt Fund - Direct Growth
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121281,BANDHAN Banking & PSU Debt Fund - Direct IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121935,BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121938,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121933,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,127470,BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121931,BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121280,BANDHAN Banking & PSU Debt Fund - Regular Growth
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121282,BANDHAN Banking & PSU Debt Fund - Regular IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121932,BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121937,BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW
Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148629,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option
Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148628,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option
Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148630,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option
Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148625,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option
Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148626,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option
Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148627,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW
