Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund House,Type,Sub-Category,Category
Metals & Mining,,11.48%,ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Capital Goods,,9.99%,ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Construction Materials,,8.64%,ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Automobile and Auto Components,,7.66%,ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Sovereign,,29.66%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Financial Services,,26.26%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
"Oil, Gas & Consumable Fuels",,11.57%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Current Assets,,5.58%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Diversified,,5.26%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Sovereign,,60.86%,ICICI Prudential Retirement Fund - Pure Debt Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Financial Services,,20.13%,ICICI Prudential Retirement Fund - Pure Debt Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Power,,6.41%,ICICI Prudential Retirement Fund - Pure Debt Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Current Assets,,5.63%,ICICI Prudential Retirement Fund - Pure Debt Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
"Oil, Gas & Consumable Fuels",,3.83%,ICICI Prudential Retirement Fund - Pure Debt Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Metals & Mining,,12.21%,ICICI Prudential Retirement Fund - Pure Equity Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Capital Goods,,11.66%,ICICI Prudential Retirement Fund - Pure Equity Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Construction Materials,,10.83%,ICICI Prudential Retirement Fund - Pure Equity Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Automobile and Auto Components,,10.78%,ICICI Prudential Retirement Fund - Pure Equity Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Financial Services,,9.81%,ICICI Prudential Retirement Fund - Pure Equity Plan,ICICI Prudential Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Mutual Funds,,100.12%,ICICI Prudential S&P BSE 500 ETF FOF,ICICI Prudential Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,-0.12%,ICICI Prudential S&P BSE 500 ETF FOF,ICICI Prudential Mutual Fund,Open Ended,FoF - Domestic,Other
Financial Services,,29.69%,ICICI Prudential S&P BSE 500 ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,10.19%,ICICI Prudential S&P BSE 500 ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
"Oil, Gas & Consumable Fuels",,8.67%,ICICI Prudential S&P BSE 500 ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Fast Moving Consumer Goods,,8.01%,ICICI Prudential S&P BSE 500 ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Automobile and Auto Components,,6.47%,ICICI Prudential S&P BSE 500 ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Current Assets,,100.00%,ICICI Prudential S&P BSE Liquid Rate ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Financial Services,,26.62%,ICICI Prudential S&P BSE Midcap Select ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Capital Goods,,16.24%,ICICI Prudential S&P BSE Midcap Select ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Automobile and Auto Components,,11.41%,ICICI Prudential S&P BSE Midcap Select ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Consumer Services,,10.49%,ICICI Prudential S&P BSE Midcap Select ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,8.90%,ICICI Prudential S&P BSE Midcap Select ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Financial Services,,39.13%,ICICI Prudential S&P BSE Sensex ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,15.04%,ICICI Prudential S&P BSE Sensex ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
"Oil, Gas & Consumable Fuels",,10.81%,ICICI Prudential S&P BSE Sensex ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Fast Moving Consumer Goods,,8.99%,ICICI Prudential S&P BSE Sensex ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Automobile and Auto Components,,5.36%,ICICI Prudential S&P BSE Sensex ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Financial Services,,39.11%,ICICI Prudential S&P BSE Sensex Index Fund,ICICI Prudential Mutual Fund,Open Ended,Index Funds,Other
Information Technology,,15.04%,ICICI Prudential S&P BSE Sensex Index Fund,ICICI Prudential Mutual Fund,Open Ended,Index Funds,Other
"Oil, Gas & Consumable Fuels",,10.81%,ICICI Prudential S&P BSE Sensex Index Fund,ICICI Prudential Mutual Fund,Open Ended,Index Funds,Other
Fast Moving Consumer Goods,,8.99%,ICICI Prudential S&P BSE Sensex Index Fund,ICICI Prudential Mutual Fund,Open Ended,Index Funds,Other
Automobile and Auto Components,,5.36%,ICICI Prudential S&P BSE Sensex Index Fund,ICICI Prudential Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,36.10%,ICICI Prudential Short Term Fund,ICICI Prudential Mutual Fund,Open Ended,Short Duration Fund,Debt
Sovereign,,34.93%,ICICI Prudential Short Term Fund,ICICI Prudential Mutual Fund,Open Ended,Short Duration Fund,Debt
Current Assets,,10.83%,ICICI Prudential Short Term Fund,ICICI Prudential Mutual Fund,Open Ended,Short Duration Fund,Debt
Construction,,3.51%,ICICI Prudential Short Term Fund,ICICI Prudential Mutual Fund,Open Ended,Short Duration Fund,Debt
Realty,,2.88%,ICICI Prudential Short Term Fund,ICICI Prudential Mutual Fund,Open Ended,Short Duration Fund,Debt
Mutual Funds,,99.96%,ICICI Prudential Silver ETF Fund of Fund,ICICI Prudential Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.04%,ICICI Prudential Silver ETF Fund of Fund,ICICI Prudential Mutual Fund,Open Ended,FoF - Domestic,Other
Miscellaneous,,97.56%,ICICI Prudential Silver ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Current Assets,,2.44%,ICICI Prudential Silver ETF,ICICI Prudential Mutual Fund,Open Ended,ETFs - Others,Other
Capital Goods,,13.90%,ICICI Prudential Smallcap Fund.,ICICI Prudential Mutual Fund,Open Ended,Small cap Fund,Equity
Automobile and Auto Components,,13.13%,ICICI Prudential Smallcap Fund.,ICICI Prudential Mutual Fund,Open Ended,Small cap Fund,Equity
Healthcare,,8.96%,ICICI Prudential Smallcap Fund.,ICICI Prudential Mutual Fund,Open Ended,Small cap Fund,Equity
Financial Services,,7.63%,ICICI Prudential Smallcap Fund.,ICICI Prudential Mutual Fund,Open Ended,Small cap Fund,Equity
Current Assets,,7.18%,ICICI Prudential Smallcap Fund.,ICICI Prudential Mutual Fund,Open Ended,Small cap Fund,Equity
Mutual Funds,,99.91%,ICICI Prudential Strategic Metal and Energy Equity FoF,ICICI Prudential Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,0.09%,ICICI Prudential Strategic Metal and Energy Equity FoF,ICICI Prudential Mutual Fund,Open Ended,FoF - Overseas,Other
Information Technology,,73.30%,ICICI Prudential Technology Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Telecommunication,,10.58%,ICICI Prudential Technology Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Consumer Services,,4.96%,ICICI Prudential Technology Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Services,,4.17%,ICICI Prudential Technology Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Current Assets,,2.87%,ICICI Prudential Technology Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Mutual Funds,,96.51%,ICICI Prudential Thematic Advantage Fund (FOF),ICICI Prudential Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,3.49%,ICICI Prudential Thematic Advantage Fund (FOF),ICICI Prudential Mutual Fund,Open Ended,FoF - Domestic,Other
Automobile and Auto Components,,74.30%,ICICI Prudential Transportation and Logistics Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Services,,12.51%,ICICI Prudential Transportation and Logistics Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Capital Goods,,6.12%,ICICI Prudential Transportation and Logistics Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Consumer Services,,4.54%,ICICI Prudential Transportation and Logistics Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Sovereign,,1.34%,ICICI Prudential Transportation and Logistics Fund,ICICI Prudential Mutual Fund,Open Ended,Sectoral,Equity
Financial Services,,20.73%,ICICI Prudential US Bluechip Equity Fund,ICICI Prudential Mutual Fund,Open Ended,Thematic,Equity
Healthcare,,16.88%,ICICI Prudential US Bluechip Equity Fund,ICICI Prudential Mutual Fund,Open Ended,Thematic,Equity
Fast Moving Consumer Goods,,13.47%,ICICI Prudential US Bluechip Equity Fund,ICICI Prudential Mutual Fund,Open Ended,Thematic,Equity
Information Technology,,11.29%,ICICI Prudential US Bluechip Equity Fund,ICICI Prudential Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,9.50%,ICICI Prudential US Bluechip Equity Fund,ICICI Prudential Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,24.51%,ICICI Prudential Value Discovery Fund,ICICI Prudential Mutual Fund,Open Ended,Value Fund,Equity
"Oil, Gas & Consumable Fuels",,14.62%,ICICI Prudential Value Discovery Fund,ICICI Prudential Mutual Fund,Open Ended,Value Fund,Equity
Healthcare,,12.14%,ICICI Prudential Value Discovery Fund,ICICI Prudential Mutual Fund,Open Ended,Value Fund,Equity
Telecommunication,,8.92%,ICICI Prudential Value Discovery Fund,ICICI Prudential Mutual Fund,Open Ended,Value Fund,Equity
Information Technology,,7.59%,ICICI Prudential Value Discovery Fund,ICICI Prudential Mutual Fund,Open Ended,Value Fund,Equity
Financial Services,,99.64%,IIFCL Infrastructure Debt Fund - Series II,IIFCL Mutual Fund,Close Ended,Others,Debt
Current Assets,,0.36%,IIFCL Infrastructure Debt Fund - Series II,IIFCL Mutual Fund,Close Ended,Others,Debt
"Oil, Gas & Consumable Fuels",,30.42%,IL&FS Infrastructure Debt Fund - Series 1 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Power,,19.39%,IL&FS Infrastructure Debt Fund - Series 1 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Construction,,12.66%,IL&FS Infrastructure Debt Fund - Series 1 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Capital Goods,,8.44%,IL&FS Infrastructure Debt Fund - Series 1 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Realty,,8.44%,IL&FS Infrastructure Debt Fund - Series 1 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Power,,38.32%,IL&FS Infrastructure Debt Fund - Series 2 - A,IL & FS Mutual Fund,Close Ended,Others,Debt
Telecommunication,,27.03%,IL&FS Infrastructure Debt Fund - Series 2 - A,IL & FS Mutual Fund,Close Ended,Others,Debt
Realty,,26.12%,IL&FS Infrastructure Debt Fund - Series 2 - A,IL & FS Mutual Fund,Close Ended,Others,Debt
Current Assets,,8.53%,IL&FS Infrastructure Debt Fund - Series 2 - A,IL & FS Mutual Fund,Close Ended,Others,Debt
Power,,33.96%,IL&FS Infrastructure Debt Fund - Series 2 - B,IL & FS Mutual Fund,Close Ended,Others,Debt
Current Assets,,23.42%,IL&FS Infrastructure Debt Fund - Series 2 - B,IL & FS Mutual Fund,Close Ended,Others,Debt
Financial Services,,12.57%,IL&FS Infrastructure Debt Fund - Series 2 - B,IL & FS Mutual Fund,Close Ended,Others,Debt
Capital Goods,,11.12%,IL&FS Infrastructure Debt Fund - Series 2 - B,IL & FS Mutual Fund,Close Ended,Others,Debt
Construction,,10.60%,IL&FS Infrastructure Debt Fund - Series 2 - B,IL & FS Mutual Fund,Close Ended,Others,Debt
Power,,40.26%,IL&FS Infrastructure Debt Fund - Series 2 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Capital Goods,,23.89%,IL&FS Infrastructure Debt Fund - Series 2 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Construction,,11.41%,IL&FS Infrastructure Debt Fund - Series 2 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Consumer Services,,10.57%,IL&FS Infrastructure Debt Fund - Series 2 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Current Assets,,7.47%,IL&FS Infrastructure Debt Fund - Series 2 - C,IL & FS Mutual Fund,Close Ended,Others,Debt
Mutual Funds,,98.86%,Invesco India - Invesco EQQQ NASDAQ-100 ETF Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,1.14%,Invesco India - Invesco EQQQ NASDAQ-100 ETF Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Overseas,Other
Mutual Funds,,98.80%,Invesco India - Invesco Global Consumer Trends Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,1.20%,Invesco India - Invesco Global Consumer Trends Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Overseas,Other
Mutual Funds,,97.94%,Invesco India - Invesco Global Equity Income Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,2.06%,Invesco India - Invesco Global Equity Income Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Overseas,Other
Mutual Funds,,97.87%,Invesco India - Invesco Pan European Equity Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,2.13%,Invesco India - Invesco Pan European Equity Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Overseas,Other
Financial Services,,25.25%,Invesco India Aggressive Hybrid Fund,Invesco Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Sovereign,,22.29%,Invesco India Aggressive Hybrid Fund,Invesco Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Capital Goods,,8.08%,Invesco India Aggressive Hybrid Fund,Invesco Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Automobile and Auto Components,,6.06%,Invesco India Aggressive Hybrid Fund,Invesco Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Information Technology,,6.03%,Invesco India Aggressive Hybrid Fund,Invesco Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Current Assets,,78.92%,Invesco India Arbitrage Fund,Invesco Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Mutual Funds,,15.52%,Invesco India Arbitrage Fund,Invesco Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Financial Services,,5.69%,Invesco India Arbitrage Fund,Invesco Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Sovereign,,0.25%,Invesco India Arbitrage Fund,Invesco Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Textiles,,-,Invesco India Arbitrage Fund,Invesco Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Current Assets,,24.49%,Invesco India Balanced Advantage Fund,Invesco Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Financial Services,,23.60%,Invesco India Balanced Advantage Fund,Invesco Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Sovereign,,7.16%,Invesco India Balanced Advantage Fund,Invesco Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Mutual Funds,,6.73%,Invesco India Balanced Advantage Fund,Invesco Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Information Technology,,6.49%,Invesco India Balanced Advantage Fund,Invesco Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Financial Services,,31.92%,Invesco India Contra Fund,Invesco Mutual Fund,Open Ended,Contra Fund,Equity
Information Technology,,12.85%,Invesco India Contra Fund,Invesco Mutual Fund,Open Ended,Contra Fund,Equity
Automobile and Auto Components,,9.70%,Invesco India Contra Fund,Invesco Mutual Fund,Open Ended,Contra Fund,Equity
Healthcare,,7.67%,Invesco India Contra Fund,Invesco Mutual Fund,Open Ended,Contra Fund,Equity
Capital Goods,,7.64%,Invesco India Contra Fund,Invesco Mutual Fund,Open Ended,Contra Fund,Equity
Sovereign,,30.49%,Invesco India Credit Risk Fund,Invesco Mutual Fund,Open Ended,Credit Risk Fund,Debt
Financial Services,,21.18%,Invesco India Credit Risk Fund,Invesco Mutual Fund,Open Ended,Credit Risk Fund,Debt
Power,,7.07%,Invesco India Credit Risk Fund,Invesco Mutual Fund,Open Ended,Credit Risk Fund,Debt
Forest Materials,,7.06%,Invesco India Credit Risk Fund,Invesco Mutual Fund,Open Ended,Credit Risk Fund,Debt
Diversified,,6.98%,Invesco India Credit Risk Fund,Invesco Mutual Fund,Open Ended,Credit Risk Fund,Debt
Financial Services,,28.72%,Invesco India ELSS Tax Saver Fund,Invesco Mutual Fund,Open Ended,ELSS,Equity
Information Technology,,10.96%,Invesco India ELSS Tax Saver Fund,Invesco Mutual Fund,Open Ended,ELSS,Equity
Capital Goods,,9.04%,Invesco India ELSS Tax Saver Fund,Invesco Mutual Fund,Open Ended,ELSS,Equity
"Oil, Gas & Consumable Fuels",,7.27%,Invesco India ELSS Tax Saver Fund,Invesco Mutual Fund,Open Ended,ELSS,Equity
Consumer Durables,,7.14%,Invesco India ELSS Tax Saver Fund,Invesco Mutual Fund,Open Ended,ELSS,Equity
Current Assets,,168.88%,Invesco India Equity Savings Fund,Invesco Mutual Fund,Open Ended,Equity Savings,Hybrid
Mutual Funds,,16.74%,Invesco India Equity Savings Fund,Invesco Mutual Fund,Open Ended,Equity Savings,Hybrid
Sovereign,,5.26%,Invesco India Equity Savings Fund,Invesco Mutual Fund,Open Ended,Equity Savings,Hybrid
Capital Goods,,3.81%,Invesco India Equity Savings Fund,Invesco Mutual Fund,Open Ended,Equity Savings,Hybrid
Consumer Services,,3.19%,Invesco India Equity Savings Fund,Invesco Mutual Fund,Open Ended,Equity Savings,Hybrid
Financial Services,,29.80%,Invesco India ESG Equity Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
Information Technology,,21.43%,Invesco India ESG Equity Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,11.52%,Invesco India ESG Equity Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,8.39%,Invesco India ESG Equity Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
Consumer Durables,,5.10%,Invesco India ESG Equity Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,97.73%,Invesco India Financial Services Fund,Invesco Mutual Fund,Open Ended,Sectoral,Equity
Current Assets,,2.27%,Invesco India Financial Services Fund,Invesco Mutual Fund,Open Ended,Sectoral,Equity
Financial Services,,32.74%,Invesco India Flexi Cap Fund,Invesco Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Information Technology,,11.18%,Invesco India Flexi Cap Fund,Invesco Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Capital Goods,,9.04%,Invesco India Flexi Cap Fund,Invesco Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Healthcare,,8.80%,Invesco India Flexi Cap Fund,Invesco Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Automobile and Auto Components,,7.16%,Invesco India Flexi Cap Fund,Invesco Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Financial Services,,29.25%,Invesco India Focused Fund,Invesco Mutual Fund,Open Ended,Focused Fund,Equity
Information Technology,,12.71%,Invesco India Focused Fund,Invesco Mutual Fund,Open Ended,Focused Fund,Equity
Consumer Services,,10.05%,Invesco India Focused Fund,Invesco Mutual Fund,Open Ended,Focused Fund,Equity
Healthcare,,10.03%,Invesco India Focused Fund,Invesco Mutual Fund,Open Ended,Focused Fund,Equity
Construction,,9.08%,Invesco India Focused Fund,Invesco Mutual Fund,Open Ended,Focused Fund,Equity
Sovereign,,94.95%,Invesco India Gilt Fund,Invesco Mutual Fund,Open Ended,Gilt Fund,Debt
Current Assets,,5.05%,Invesco India Gilt Fund,Invesco Mutual Fund,Open Ended,Gilt Fund,Debt
Mutual Funds,,99.51%,Invesco India Gold ETF Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.49%,Invesco India Gold ETF Fund of Fund,Invesco Mutual Fund,Open Ended,FoF - Domestic,Other
Miscellaneous,,98.29%,Invesco India Gold ETF,Invesco Mutual Fund,Open Ended,ETFs - Gold,Other
Current Assets,,1.71%,Invesco India Gold ETF,Invesco Mutual Fund,Open Ended,ETFs - Gold,Other
Capital Goods,,32.67%,Invesco India Infrastructure Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
Power,,15.04%,Invesco India Infrastructure Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
"Oil, Gas & Consumable Fuels",,11.91%,Invesco India Infrastructure Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
Construction,,11.42%,Invesco India Infrastructure Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,6.45%,Invesco India Infrastructure Fund,Invesco Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,27.32%,Invesco India Large & Mid Cap Fund,Invesco Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Capital Goods,,15.42%,Invesco India Large & Mid Cap Fund,Invesco Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Healthcare,,8.01%,Invesco India Large & Mid Cap Fund,Invesco Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Information Technology,,7.86%,Invesco India Large & Mid Cap Fund,Invesco Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Automobile and Auto Components,,7.45%,Invesco India Large & Mid Cap Fund,Invesco Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Financial Services,,33.07%,Invesco India Largecap Fund,Invesco Mutual Fund,Open Ended,Large Cap Fund,Equity
Information Technology,,11.66%,Invesco India Largecap Fund,Invesco Mutual Fund,Open Ended,Large Cap Fund,Equity
Automobile and Auto Components,,7.73%,Invesco India Largecap Fund,Invesco Mutual Fund,Open Ended,Large Cap Fund,Equity
Capital Goods,,7.53%,Invesco India Largecap Fund,Invesco Mutual Fund,Open Ended,Large Cap Fund,Equity
"Oil, Gas & Consumable Fuels",,7.44%,Invesco India Largecap Fund,Invesco Mutual Fund,Open Ended,Large Cap Fund,Equity
Financial Services,,67.45%,Invesco India Liquid Fund,Invesco Mutual Fund,Open Ended,Liquid Fund,Debt
Sovereign,,18.11%,Invesco India Liquid Fund,Invesco Mutual Fund,Open Ended,Liquid Fund,Debt
Services,,4.06%,Invesco India Liquid Fund,Invesco Mutual Fund,Open Ended,Liquid Fund,Debt
Consumer Services,,4.06%,Invesco India Liquid Fund,Invesco Mutual Fund,Open Ended,Liquid Fund,Debt
Fast Moving Consumer Goods,,3.26%,Invesco India Liquid Fund,Invesco Mutual Fund,Open Ended,Liquid Fund,Debt
Financial Services,,53.50%,Invesco India Low Duration Fund,Invesco Mutual Fund,Open Ended,Low Duration Fund,Debt
Sovereign,,18.70%,Invesco India Low Duration Fund,Invesco Mutual Fund,Open Ended,Low Duration Fund,Debt
Current Assets,,10.58%,Invesco India Low Duration Fund,Invesco Mutual Fund,Open Ended,Low Duration Fund,Debt
"Oil, Gas & Consumable Fuels",,6.26%,Invesco India Low Duration Fund,Invesco Mutual Fund,Open Ended,Low Duration Fund,Debt
Telecommunication,,4.15%,Invesco India Low Duration Fund,Invesco Mutual Fund,Open Ended,Low Duration Fund,Debt
Sovereign,,60.56%,Invesco India Medium Duration Fund,Invesco Mutual Fund,Open Ended,Medium Duration Fund,Debt
Financial Services,,15.62%,Invesco India Medium Duration Fund,Invesco Mutual Fund,Open Ended,Medium Duration Fund,Debt
Power,,6.64%,Invesco India Medium Duration Fund,Invesco Mutual Fund,Open Ended,Medium Duration Fund,Debt
Services,,4.22%,Invesco India Medium Duration Fund,Invesco Mutual Fund,Open Ended,Medium Duration Fund,Debt
Current Assets,,4.08%,Invesco India Medium Duration Fund,Invesco Mutual Fund,Open Ended,Medium Duration Fund,Debt
Financial Services,,21.55%,Invesco India Midcap Fund,Invesco Mutual Fund,Open Ended,Mid Cap Fund,Equity
Capital Goods,,17.72%,Invesco India Midcap Fund,Invesco Mutual Fund,Open Ended,Mid Cap Fund,Equity
Automobile and Auto Components,,10.08%,Invesco India Midcap Fund,Invesco Mutual Fund,Open Ended,Mid Cap Fund,Equity
Healthcare,,10.06%,Invesco India Midcap Fund,Invesco Mutual Fund,Open Ended,Mid Cap Fund,Equity
Consumer Services,,8.30%,Invesco India Midcap Fund,Invesco Mutual Fund,Open Ended,Mid Cap Fund,Equity
Financial Services,,78.16%,Invesco India Money Market Fund,Invesco Mutual Fund,Open Ended,Money Market Fund,Debt
Sovereign,,13.77%,Invesco India Money Market Fund,Invesco Mutual Fund,Open Ended,Money Market Fund,Debt
Services,,3.44%,Invesco India Money Market Fund,Invesco Mutual Fund,Open Ended,Money Market Fund,Debt
Consumer Services,,3.43%,Invesco India Money Market Fund,Invesco Mutual Fund,Open Ended,Money Market Fund,Debt
Current Assets,,1.04%,Invesco India Money Market Fund,Invesco Mutual Fund,Open Ended,Money Market Fund,Debt
Financial Services,,31.08%,Invesco India Multicap Fund,Invesco Mutual Fund,Open Ended,Multi Cap Fund,Equity
Capital Goods,,13.10%,Invesco India Multicap Fund,Invesco Mutual Fund,Open Ended,Multi Cap Fund,Equity
Automobile and Auto Components,,11.89%,Invesco India Multicap Fund,Invesco Mutual Fund,Open Ended,Multi Cap Fund,Equity
Information Technology,,9.24%,Invesco India Multicap Fund,Invesco Mutual Fund,Open Ended,Multi Cap Fund,Equity
Healthcare,,5.18%,Invesco India Multicap Fund,Invesco Mutual Fund,Open Ended,Multi Cap Fund,Equity
Financial Services,,35.26%,Invesco India Nifty 50 Exchange Traded Fund,Invesco Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,13.62%,Invesco India Nifty 50 Exchange Traded Fund,Invesco Mutual Fund,Open Ended,ETFs - Others,Other
"Oil, Gas & Consumable Fuels",,11.40%,Invesco India Nifty 50 Exchange Traded Fund,Invesco Mutual Fund,Open Ended,ETFs - Others,Other
Fast Moving Consumer Goods,,9.16%,Invesco India Nifty 50 Exchange Traded Fund,Invesco Mutual Fund,Open Ended,ETFs - Others,Other
