Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund House,Type,Sub-Category,Category
Consumer Services,,8.67%,Aditya Birla Sun Life Equity Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Information Technology,,8.61%,Aditya Birla Sun Life Equity Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Financial Services,,33.53%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Information Technology,,7.97%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Sovereign,,7.12%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Automobile and Auto Components,,6.93%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Healthcare,,6.92%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Miscellaneous,,51.98%,Aditya Birla Sun Life Equity Savings Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Equity Savings,Hybrid
Financial Services,,15.46%,Aditya Birla Sun Life Equity Savings Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Equity Savings,Hybrid
Sovereign,,12.39%,Aditya Birla Sun Life Equity Savings Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Equity Savings,Hybrid
Mutual Funds,,6.57%,Aditya Birla Sun Life Equity Savings Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Equity Savings,Hybrid
Fast Moving Consumer Goods,,3.00%,Aditya Birla Sun Life Equity Savings Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Equity Savings,Hybrid
Financial Services,,29.94%,Aditya Birla Sun Life ESG Integration Strategy Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Information Technology,,24.13%,Aditya Birla Sun Life ESG Integration Strategy Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,13.14%,Aditya Birla Sun Life ESG Integration Strategy Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Consumer Durables,,9.72%,Aditya Birla Sun Life ESG Integration Strategy Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,5.30%,Aditya Birla Sun Life ESG Integration Strategy Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Mutual Funds,,99.17%,Aditya Birla Sun Life Financial Planning FoF - Moderate Plan,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.83%,Aditya Birla Sun Life Financial Planning FoF - Moderate Plan,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Mutual Funds,,99.34%,Aditya Birla Sun Life Financial Planning FoF Aggressive,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.66%,Aditya Birla Sun Life Financial Planning FoF Aggressive,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Mutual Funds,,99.26%,Aditya Birla Sun Life Financial Planning FoF Conservative,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,0.74%,Aditya Birla Sun Life Financial Planning FoF Conservative,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Financial Services,,73.02%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,Aditya Birla Sun Life Mutual Fund,Close Ended,FMP,Debt
Construction,,9.97%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,Aditya Birla Sun Life Mutual Fund,Close Ended,FMP,Debt
Realty,,9.17%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,Aditya Birla Sun Life Mutual Fund,Close Ended,FMP,Debt
Services,,7.58%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,Aditya Birla Sun Life Mutual Fund,Close Ended,FMP,Debt
Current Assets,,0.26%,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ,Aditya Birla Sun Life Mutual Fund,Close Ended,FMP,Debt
Sovereign,,96.44%,Aditya Birla Sun Life Fixed Term Plan - Series TI,Aditya Birla Sun Life Mutual Fund,Close Ended,FMP,Debt
Current Assets,,3.56%,Aditya Birla Sun Life Fixed Term Plan - Series TI,Aditya Birla Sun Life Mutual Fund,Close Ended,FMP,Debt
