Sector Name,Dummy,Percentage Allocation,Fund Type
Capital Goods,,10.77%,Focused Fund
Healthcare,,7.33%,Focused Fund
Financial Services,,31.46%,Focused Fund
Information Technology,,14.45%,Focused Fund
Healthcare,,10.13%,Focused Fund
Capital Goods,,7.41%,Focused Fund
Power,,6.38%,Focused Fund
Financial Services,,27.09%,Focused Fund
Automobile and Auto Components,,10.73%,Focused Fund
Information Technology,,8.98%,Focused Fund
Capital Goods,,8.87%,Focused Fund
Construction,,6.49%,Focused Fund
Financial Services,,31.14%,Focused Fund
Automobile and Auto Components,,10.44%,Focused Fund
Information Technology,,10.42%,Focused Fund
Consumer Services,,9.94%,Focused Fund
Fast Moving Consumer Goods,,7.22%,Focused Fund
Mutual Funds,,98.86%,FoF - Domestic
Current Assets,,1.14%,FoF - Domestic
Mutual Funds,,99.17%,FoF - Domestic
Current Assets,,0.83%,FoF - Domestic
Mutual Funds,,99.34%,FoF - Domestic
Current Assets,,0.66%,FoF - Domestic
Mutual Funds,,99.26%,FoF - Domestic
Current Assets,,0.74%,FoF - Domestic
Mutual Funds,,97.55%,FoF - Domestic
Current Assets,,2.45%,FoF - Domestic
Mutual Funds,,97.97%,FoF - Domestic
Current Assets,,2.03%,FoF - Domestic
Mutual Funds,,97.57%,FoF - Domestic
Current Assets,,2.43%,FoF - Domestic
Financial Services,,34.81%,Index Funds
Information Technology,,13.53%,Index Funds
"Oil, Gas & Consumable Fuels",,11.29%,Index Funds
Fast Moving Consumer Goods,,9.07%,Index Funds
Automobile and Auto Components,,6.42%,Index Funds
Financial Services,,87.90%,Index Funds
"Oil, Gas & Consumable Fuels",,9.73%,Index Funds
Current Assets,,2.36%,Index Funds
Sovereign,,94.16%,Index Funds
Current Assets,,5.84%,Index Funds
Financial Services,,19.94%,Index Funds
Automobile and Auto Components,,12.23%,Index Funds
Information Technology,,11.80%,Index Funds
Fast Moving Consumer Goods,,10.18%,Index Funds
Healthcare,,9.95%,Index Funds
Financial Services,,35.26%,Index Funds
Information Technology,,13.62%,Index Funds
"Oil, Gas & Consumable Fuels",,11.40%,Index Funds
Fast Moving Consumer Goods,,9.16%,Index Funds
Automobile and Auto Components,,6.48%,Index Funds
Financial Services,,22.13%,Index Funds
Capital Goods,,13.31%,Index Funds
Healthcare,,10.87%,Index Funds
Automobile and Auto Components,,7.24%,Index Funds
Information Technology,,6.86%,Index Funds
Financial Services,,20.35%,Index Funds
Fast Moving Consumer Goods,,12.69%,Index Funds
Consumer Services,,11.64%,Index Funds
Capital Goods,,11.15%,Index Funds
Chemicals,,6.58%,Index Funds
Sovereign,,98.33%,Index Funds
Current Assets,,1.67%,Index Funds
Financial Services,,27.08%,Large & Mid Cap Fund
Automobile and Auto Components,,11.59%,Large & Mid Cap Fund
Capital Goods,,11.56%,Large & Mid Cap Fund
Consumer Services,,8.67%,Large & Mid Cap Fund
Information Technology,,8.61%,Large & Mid Cap Fund
Financial Services,,20.58%,Large & Mid Cap Fund
Information Technology,,14.60%,Large & Mid Cap Fund
Capital Goods,,10.28%,Large & Mid Cap Fund
Automobile and Auto Components,,9.64%,Large & Mid Cap Fund
Healthcare,,8.57%,Large & Mid Cap Fund
Financial Services,,25.52%,Large & Mid Cap Fund
Information Technology,,8.23%,Large & Mid Cap Fund
"Oil, Gas & Consumable Fuels",,8.09%,Large & Mid Cap Fund
Automobile and Auto Components,,7.90%,Large & Mid Cap Fund
Healthcare,,6.19%,Large & Mid Cap Fund
Financial Services,,29.76%,Large & Mid Cap Fund
Automobile and Auto Components,,11.48%,Large & Mid Cap Fund
Construction,,6.79%,Large & Mid Cap Fund
Healthcare,,6.70%,Large & Mid Cap Fund
Capital Goods,,5.98%,Large & Mid Cap Fund
Financial Services,,32.05%,Large & Mid Cap Fund
Information Technology,,8.59%,Large & Mid Cap Fund
Automobile and Auto Components,,7.61%,Large & Mid Cap Fund
Healthcare,,7.25%,Large & Mid Cap Fund
Power,,6.23%,Large & Mid Cap Fund
Financial Services,,27.71%,Large & Mid Cap Fund
Capital Goods,,16.00%,Large & Mid Cap Fund
Automobile and Auto Components,,12.01%,Large & Mid Cap Fund
Healthcare,,6.82%,Large & Mid Cap Fund
Consumer Services,,6.31%,Large & Mid Cap Fund
Financial Services,,33.99%,Large & Mid Cap Fund
Automobile and Auto Components,,9.49%,Large & Mid Cap Fund
Healthcare,,8.85%,Large & Mid Cap Fund
"Oil, Gas & Consumable Fuels",,7.19%,Large & Mid Cap Fund
Information Technology,,6.25%,Large & Mid Cap Fund
Financial Services,,26.28%,Large & Mid Cap Fund
Information Technology,,10.87%,Large & Mid Cap Fund
Capital Goods,,10.80%,Large & Mid Cap Fund
Consumer Durables,,7.88%,Large & Mid Cap Fund
Automobile and Auto Components,,7.08%,Large & Mid Cap Fund
Financial Services,,34.78%,Large & Mid Cap Fund
Automobile and Auto Components,,13.02%,Large & Mid Cap Fund
Information Technology,,9.05%,Large & Mid Cap Fund
Healthcare,,6.66%,Large & Mid Cap Fund
Fast Moving Consumer Goods,,5.71%,Large & Mid Cap Fund
Financial Services,,34.60%,Large Cap Fund
Information Technology,,9.31%,Large Cap Fund
Automobile and Auto Components,,8.25%,Large Cap Fund
Fast Moving Consumer Goods,,7.54%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.43%,Large Cap Fund
Financial Services,,32.75%,Large Cap Fund
Information Technology,,10.13%,Large Cap Fund
Automobile and Auto Components,,10.06%,Large Cap Fund
Consumer Services,,9.36%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,5.66%,Large Cap Fund
Financial Services,,32.50%,Large Cap Fund
Information Technology,,13.30%,Large Cap Fund
Automobile and Auto Components,,11.01%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,9.65%,Large Cap Fund
Fast Moving Consumer Goods,,6.85%,Large Cap Fund
Financial Services,,33.46%,Large Cap Fund
Information Technology,,8.43%,Large Cap Fund
Automobile and Auto Components,,8.35%,Large Cap Fund
Healthcare,,7.15%,Large Cap Fund
Capital Goods,,6.77%,Large Cap Fund
Financial Services,,26.69%,Large Cap Fund
Information Technology,,9.86%,Large Cap Fund
Automobile and Auto Components,,9.74%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,9.50%,Large Cap Fund
Fast Moving Consumer Goods,,7.60%,Large Cap Fund
Financial Services,,31.63%,Large Cap Fund
Information Technology,,11.11%,Large Cap Fund
Fast Moving Consumer Goods,,7.83%,Large Cap Fund
Automobile and Auto Components,,7.01%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.21%,Large Cap Fund
Financial Services,,42.99%,Large Cap Fund
Automobile and Auto Components,,15.93%,Large Cap Fund
Healthcare,,14.81%,Large Cap Fund
Information Technology,,6.56%,Large Cap Fund
Fast Moving Consumer Goods,,6.15%,Large Cap Fund
Financial Services,,31.40%,Large Cap Fund
Fast Moving Consumer Goods,,10.91%,Large Cap Fund
Automobile and Auto Components,,10.65%,Large Cap Fund
Information Technology,,9.45%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.54%,Large Cap Fund
Financial Services,,37.98%,Large Cap Fund
Automobile and Auto Components,,11.97%,Large Cap Fund
Information Technology,,11.84%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.21%,Large Cap Fund
Fast Moving Consumer Goods,,6.97%,Large Cap Fund
Financial Services,,29.68%,Large Cap Fund
Information Technology,,14.66%,Large Cap Fund
Automobile and Auto Components,,11.28%,Large Cap Fund
Construction,,7.95%,Large Cap Fund
Capital Goods,,4.12%,Large Cap Fund
Financial Services,,35.55%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,10.86%,Large Cap Fund
Information Technology,,9.68%,Large Cap Fund
Fast Moving Consumer Goods,,8.51%,Large Cap Fund
Healthcare,,6.71%,Large Cap Fund
Financial Services,,32.35%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,10.76%,Large Cap Fund
Information Technology,,9.74%,Large Cap Fund
Healthcare,,7.68%,Large Cap Fund
Fast Moving Consumer Goods,,7.31%,Large Cap Fund
Financial Services,,24.04%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,11.75%,Large Cap Fund
Automobile and Auto Components,,10.14%,Large Cap Fund
Information Technology,,9.41%,Large Cap Fund
Current Assets,,8.04%,Large Cap Fund
Financial Services,,33.07%,Large Cap Fund
Information Technology,,11.66%,Large Cap Fund
Automobile and Auto Components,,7.73%,Large Cap Fund
Capital Goods,,7.53%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.44%,Large Cap Fund
Financial Services,,33.10%,Large Cap Fund
Information Technology,,9.76%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,9.00%,Large Cap Fund
Automobile and Auto Components,,5.62%,Large Cap Fund
Fast Moving Consumer Goods,,5.62%,Large Cap Fund
Financial Services,,27.52%,Large Cap Fund
Automobile and Auto Components,,10.01%,Large Cap Fund
Construction Materials,,9.94%,Large Cap Fund
Information Technology,,8.90%,Large Cap Fund
Power,,8.52%,Large Cap Fund
Financial Services,,26.02%,Large Cap Fund
Automobile and Auto Components,,12.36%,Large Cap Fund
Information Technology,,11.97%,Large Cap Fund
Fast Moving Consumer Goods,,8.95%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.95%,Large Cap Fund
Financial Services,,36.76%,Large Cap Fund
Fast Moving Consumer Goods,,11.37%,Large Cap Fund
Information Technology,,8.82%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.53%,Large Cap Fund
Automobile and Auto Components,,6.11%,Large Cap Fund
Financial Services,,32.01%,Large Cap Fund
Information Technology,,12.54%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,10.48%,Large Cap Fund
Fast Moving Consumer Goods,,8.06%,Large Cap Fund
Healthcare,,5.56%,Large Cap Fund
Financial Services,,37.40%,Large Cap Fund
Information Technology,,12.17%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.30%,Large Cap Fund
Fast Moving Consumer Goods,,6.41%,Large Cap Fund
Automobile and Auto Components,,4.52%,Large Cap Fund
Financial Services,,37.29%,Large Cap Fund
Fast Moving Consumer Goods,,9.44%,Large Cap Fund
Consumer Services,,7.85%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.07%,Large Cap Fund
Power,,6.59%,Large Cap Fund
Financial Services,,32.44%,Large Cap Fund
Information Technology,,10.48%,Large Cap Fund
Fast Moving Consumer Goods,,8.89%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.38%,Large Cap Fund
Automobile and Auto Components,,5.73%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,19.45%,Large Cap Fund
Fast Moving Consumer Goods,,18.79%,Large Cap Fund
Financial Services,,15.92%,Large Cap Fund
Power,,11.95%,Large Cap Fund
Metals & Mining,,11.94%,Large Cap Fund
Financial Services,,31.71%,Large Cap Fund
Automobile and Auto Components,,14.60%,Large Cap Fund
Fast Moving Consumer Goods,,10.23%,Large Cap Fund
Healthcare,,6.99%,Large Cap Fund
Construction,,6.01%,Large Cap Fund
Financial Services,,33.90%,Large Cap Fund
Information Technology,,11.56%,Large Cap Fund
Fast Moving Consumer Goods,,10.01%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,8.08%,Large Cap Fund
Healthcare,,7.31%,Large Cap Fund
Financial Services,,33.96%,Large Cap Fund
Information Technology,,11.88%,Large Cap Fund
Fast Moving Consumer Goods,,9.08%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.87%,Large Cap Fund
Automobile and Auto Components,,6.39%,Large Cap Fund
Financial Services,,29.33%,Large Cap Fund
Information Technology,,12.94%,Large Cap Fund
Automobile and Auto Components,,9.67%,Large Cap Fund
Healthcare,,8.72%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.90%,Large Cap Fund
Financial Services,,33.27%,Large Cap Fund
Information Technology,,11.53%,Large Cap Fund
Automobile and Auto Components,,8.55%,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.66%,Large Cap Fund
Fast Moving Consumer Goods,,6.05%,Large Cap Fund
Financial Services,,31.62%,Large Cap Fund
Information Technology,,15.48%,Large Cap Fund
Automobile and Auto Components,,8.56%,Large Cap Fund
Consumer Services,,7.54%,Large Cap Fund
Consumer Durables,,5.33%,Large Cap Fund
Financial Services,,38.05%,Large Cap Fund
Information Technology,,10.61%,Large Cap Fund
Fast Moving Consumer Goods,,9.27%,Large Cap Fund
Capital Goods,,6.02%,Large Cap Fund
Consumer Durables,,5.37%,Large Cap Fund
Financial Services,,20.46%,Mid Cap Fund
Capital Goods,,14.54%,Mid Cap Fund
Healthcare,,9.02%,Mid Cap Fund
Chemicals,,7.97%,Mid Cap Fund
Information Technology,,5.98%,Mid Cap Fund
Capital Goods,,17.85%,Mid Cap Fund
Financial Services,,16.46%,Mid Cap Fund
Automobile and Auto Components,,14.29%,Mid Cap Fund
Consumer Services,,11.98%,Mid Cap Fund
Chemicals,,8.12%,Mid Cap Fund
Capital Goods,,25.32%,Mid Cap Fund
Automobile and Auto Components,,12.17%,Mid Cap Fund
Financial Services,,11.66%,Mid Cap Fund
Information Technology,,9.61%,Mid Cap Fund
Consumer Services,,7.28%,Mid Cap Fund
Financial Services,,17.96%,Mid Cap Fund
Capital Goods,,16.19%,Mid Cap Fund
Healthcare,,10.31%,Mid Cap Fund
Automobile and Auto Components,,9.54%,Mid Cap Fund
Information Technology,,8.30%,Mid Cap Fund
Financial Services,,21.79%,Mid Cap Fund
Capital Goods,,15.83%,Mid Cap Fund
Healthcare,,11.15%,Mid Cap Fund
Automobile and Auto Components,,9.06%,Mid Cap Fund
Chemicals,,7.28%,Mid Cap Fund
Capital Goods,,16.32%,Mid Cap Fund
Financial Services,,13.39%,Mid Cap Fund
Healthcare,,10.83%,Mid Cap Fund
Chemicals,,10.19%,Mid Cap Fund
Automobile and Auto Components,,8.00%,Mid Cap Fund
Financial Services,,22.33%,Mid Cap Fund
Capital Goods,,16.30%,Mid Cap Fund
Healthcare,,9.77%,Mid Cap Fund
Automobile and Auto Components,,8.63%,Mid Cap Fund
Information Technology,,8.46%,Mid Cap Fund
Financial Services,,21.93%,Mid Cap Fund
Capital Goods,,13.26%,Mid Cap Fund
Healthcare,,8.25%,Mid Cap Fund
Automobile and Auto Components,,7.01%,Mid Cap Fund
Information Technology,,6.13%,Mid Cap Fund
Financial Services,,23.58%,Mid Cap Fund
Capital Goods,,13.20%,Mid Cap Fund
Healthcare,,10.34%,Mid Cap Fund
Automobile and Auto Components,,8.54%,Mid Cap Fund
Information Technology,,7.78%,Mid Cap Fund
Financial Services,,20.21%,Mid Cap Fund
Capital Goods,,15.84%,Mid Cap Fund
Healthcare,,14.20%,Mid Cap Fund
Automobile and Auto Components,,8.43%,Mid Cap Fund
Information Technology,,5.01%,Mid Cap Fund
Capital Goods,,15.90%,Mid Cap Fund
Healthcare,,10.71%,Mid Cap Fund
Automobile and Auto Components,,10.47%,Mid Cap Fund
Realty,,9.87%,Mid Cap Fund
Metals & Mining,,7.28%,Mid Cap Fund
Financial Services,,21.55%,Mid Cap Fund
Capital Goods,,17.72%,Mid Cap Fund
Automobile and Auto Components,,10.08%,Mid Cap Fund
Healthcare,,10.06%,Mid Cap Fund
Consumer Services,,8.30%,Mid Cap Fund
Capital Goods,,20.21%,Mid Cap Fund
Financial Services,,18.17%,Mid Cap Fund
Healthcare,,8.28%,Mid Cap Fund
Automobile and Auto Components,,7.72%,Mid Cap Fund
Information Technology,,6.96%,Mid Cap Fund
Capital Goods,,18.03%,Mid Cap Fund
Financial Services,,16.48%,Mid Cap Fund
Healthcare,,8.53%,Mid Cap Fund
Automobile and Auto Components,,7.61%,Mid Cap Fund
Consumer Services,,7.38%,Mid Cap Fund
Capital Goods,,20.59%,Mid Cap Fund
Financial Services,,12.90%,Mid Cap Fund
Consumer Durables,,12.63%,Mid Cap Fund
Chemicals,,11.49%,Mid Cap Fund
Automobile and Auto Components,,9.78%,Mid Cap Fund
Financial Services,,19.64%,Mid Cap Fund
Capital Goods,,15.09%,Mid Cap Fund
Automobile and Auto Components,,13.37%,Mid Cap Fund
Consumer Services,,12.37%,Mid Cap Fund
Chemicals,,7.35%,Mid Cap Fund
Financial Services,,21.08%,Mid Cap Fund
Capital Goods,,12.91%,Mid Cap Fund
Automobile and Auto Components,,8.12%,Mid Cap Fund
Healthcare,,7.74%,Mid Cap Fund
Information Technology,,6.12%,Mid Cap Fund
Financial Services,,23.12%,Mid Cap Fund
Healthcare,,12.96%,Mid Cap Fund
Consumer Durables,,9.05%,Mid Cap Fund
Capital Goods,,8.52%,Mid Cap Fund
Automobile and Auto Components,,6.59%,Mid Cap Fund
Information Technology,,22.48%,Mid Cap Fund
Financial Services,,15.17%,Mid Cap Fund
Capital Goods,,13.67%,Mid Cap Fund
Automobile and Auto Components,,12.43%,Mid Cap Fund
Chemicals,,9.19%,Mid Cap Fund
Financial Services,,23.95%,Mid Cap Fund
Capital Goods,,13.04%,Mid Cap Fund
Healthcare,,11.09%,Mid Cap Fund
Consumer Services,,8.27%,Mid Cap Fund
Automobile and Auto Components,,7.27%,Mid Cap Fund
Financial Services,,18.72%,Mid Cap Fund
Automobile and Auto Components,,13.99%,Mid Cap Fund
Capital Goods,,10.77%,Mid Cap Fund
Healthcare,,10.45%,Mid Cap Fund
Chemicals,,8.12%,Mid Cap Fund
Financial Services,,19.75%,Mid Cap Fund
Healthcare,,17.69%,Mid Cap Fund
"Oil, Gas & Consumable Fuels",,12.58%,Mid Cap Fund
Power,,8.88%,Mid Cap Fund
Metals & Mining,,8.48%,Mid Cap Fund
Financial Services,,16.44%,Mid Cap Fund
Automobile and Auto Components,,15.54%,Mid Cap Fund
Capital Goods,,11.76%,Mid Cap Fund
Healthcare,,7.82%,Mid Cap Fund
Textiles,,6.62%,Mid Cap Fund
Financial Services,,24.74%,Mid Cap Fund
Automobile and Auto Components,,11.50%,Mid Cap Fund
Capital Goods,,11.10%,Mid Cap Fund
Healthcare,,10.53%,Mid Cap Fund
Consumer Services,,6.56%,Mid Cap Fund
Capital Goods,,22.77%,Mid Cap Fund
Financial Services,,21.50%,Mid Cap Fund
Healthcare,,10.63%,Mid Cap Fund
Realty,,5.70%,Mid Cap Fund
Chemicals,,4.86%,Mid Cap Fund
Financial Services,,26.14%,Mid Cap Fund
Consumer Durables,,14.02%,Mid Cap Fund
Capital Goods,,10.56%,Mid Cap Fund
Automobile and Auto Components,,7.77%,Mid Cap Fund
Information Technology,,5.91%,Mid Cap Fund
Financial Services,,21.43%,Mid Cap Fund
Automobile and Auto Components,,12.35%,Mid Cap Fund
Capital Goods,,11.75%,Mid Cap Fund
Healthcare,,10.50%,Mid Cap Fund
Information Technology,,7.58%,Mid Cap Fund
Financial Services,,19.46%,Mid Cap Fund
Capital Goods,,16.69%,Mid Cap Fund
Automobile and Auto Components,,11.51%,Mid Cap Fund
Healthcare,,10.98%,Mid Cap Fund
Information Technology,,8.83%,Mid Cap Fund
Financial Services,,23.99%,Mid Cap Fund
Healthcare,,13.67%,Mid Cap Fund
Capital Goods,,13.14%,Mid Cap Fund
Information Technology,,10.61%,Mid Cap Fund
Consumer Services,,8.58%,Mid Cap Fund
Financial Services,,29.90%,Multi Asset Allocation
Mutual Funds,,12.84%,Multi Asset Allocation
Information Technology,,5.84%,Multi Asset Allocation
Healthcare,,5.65%,Multi Asset Allocation
Automobile and Auto Components,,4.96%,Multi Asset Allocation
Financial Services,,33.64%,Multi Asset Allocation
Mutual Funds,,12.49%,Multi Asset Allocation
Automobile and Auto Components,,9.24%,Multi Asset Allocation
Information Technology,,6.95%,Multi Asset Allocation
Consumer Services,,6.69%,Multi Asset Allocation
Financial Services,,21.69%,Multi Asset Allocation
Mutual Funds,,15.03%,Multi Asset Allocation
Information Technology,,7.95%,Multi Asset Allocation
Automobile and Auto Components,,7.64%,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,7.03%,Multi Asset Allocation
Mutual Funds,,33.24%,Multi Asset Allocation
Financial Services,,28.90%,Multi Asset Allocation
Information Technology,,7.80%,Multi Asset Allocation
Healthcare,,7.44%,Multi Asset Allocation
Automobile and Auto Components,,4.90%,Multi Asset Allocation
Miscellaneous,,63.39%,Multi Asset Allocation
Financial Services,,25.62%,Multi Asset Allocation
Sovereign,,16.48%,Multi Asset Allocation
Current Assets,,4.26%,Multi Asset Allocation
Fast Moving Consumer Goods,,-,Multi Asset Allocation
Financial Services,,23.46%,Multi Asset Allocation
Miscellaneous,,13.75%,Multi Asset Allocation
Mutual Funds,,11.89%,Multi Asset Allocation
Sovereign,,9.16%,Multi Asset Allocation
Information Technology,,5.86%,Multi Asset Allocation
Financial Services,,23.57%,Multi Asset Allocation
Current Assets,,20.15%,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,8.39%,Multi Asset Allocation
Automobile and Auto Components,,5.51%,Multi Asset Allocation
Power,,5.34%,Multi Asset Allocation
Financial Services,,18.12%,Multi Asset Allocation
Mutual Funds,,13.54%,Multi Asset Allocation
Miscellaneous,,12.28%,Multi Asset Allocation
Current Assets,,10.68%,Multi Asset Allocation
Automobile and Auto Components,,9.67%,Multi Asset Allocation
Financial Services,,49.76%,Multi Asset Allocation
Mutual Funds,,12.58%,Multi Asset Allocation
Sovereign,,6.91%,Multi Asset Allocation
Automobile and Auto Components,,6.21%,Multi Asset Allocation
Information Technology,,6.12%,Multi Asset Allocation
Mutual Funds,,29.67%,Multi Asset Allocation
Financial Services,,21.03%,Multi Asset Allocation
Sovereign,,7.50%,Multi Asset Allocation
Automobile and Auto Components,,5.80%,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,4.90%,Multi Asset Allocation
Financial Services,,31.41%,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,14.02%,Multi Asset Allocation
Mutual Funds,,13.17%,Multi Asset Allocation
Metals & Mining,,7.94%,Multi Asset Allocation
Healthcare,,6.98%,Multi Asset Allocation
Financial Services,,31.44%,Multi Asset Allocation
Mutual Funds,,12.16%,Multi Asset Allocation
Sovereign,,12.11%,Multi Asset Allocation
Realty,,6.15%,Multi Asset Allocation
Information Technology,,5.39%,Multi Asset Allocation
Financial Services,,19.71%,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,10.55%,Multi Asset Allocation
Mutual Funds,,10.31%,Multi Asset Allocation
Sovereign,,9.07%,Multi Asset Allocation
Information Technology,,8.86%,Multi Asset Allocation
Financial Services,,22.70%,Multi Asset Allocation
Miscellaneous,,18.51%,Multi Asset Allocation
Commodity,,6.81%,Multi Asset Allocation
Capital Goods,,6.39%,Multi Asset Allocation
Information Technology,,4.95%,Multi Asset Allocation
Mutual Funds,,18.16%,Multi Asset Allocation
Sovereign,,13.16%,Multi Asset Allocation
Automobile and Auto Components,,10.90%,Multi Asset Allocation
Financial Services,,9.56%,Multi Asset Allocation
Miscellaneous,,9.24%,Multi Asset Allocation
Financial Services,,27.96%,Multi Cap Fund
Capital Goods,,11.66%,Multi Cap Fund
Automobile and Auto Components,,8.43%,Multi Cap Fund
Healthcare,,7.75%,Multi Cap Fund
Information Technology,,7.31%,Multi Cap Fund
Financial Services,,21.04%,Multi Cap Fund
Information Technology,,15.57%,Multi Cap Fund
Automobile and Auto Components,,15.34%,Multi Cap Fund
Healthcare,,9.86%,Multi Cap Fund
Realty,,7.77%,Multi Cap Fund
Financial Services,,26.44%,Multi Cap Fund
Information Technology,,7.94%,Multi Cap Fund
Healthcare,,7.26%,Multi Cap Fund
Automobile and Auto Components,,7.17%,Multi Cap Fund
Fast Moving Consumer Goods,,6.68%,Multi Cap Fund
Financial Services,,23.31%,Multi Cap Fund
Automobile and Auto Components,,11.13%,Multi Cap Fund
Capital Goods,,10.69%,Multi Cap Fund
Information Technology,,6.94%,Multi Cap Fund
Healthcare,,6.72%,Multi Cap Fund
Financial Services,,25.18%,Multi Cap Fund
Capital Goods,,10.56%,Multi Cap Fund
Information Technology,,10.14%,Multi Cap Fund
Healthcare,,8.27%,Multi Cap Fund
Automobile and Auto Components,,7.70%,Multi Cap Fund
Financial Services,,27.59%,Multi Cap Fund
Capital Goods,,13.17%,Multi Cap Fund
Fast Moving Consumer Goods,,10.29%,Multi Cap Fund
Healthcare,,10.02%,Multi Cap Fund
Automobile and Auto Components,,7.29%,Multi Cap Fund
Financial Services,,26.10%,Multi Cap Fund
Information Technology,,10.89%,Multi Cap Fund
Capital Goods,,10.73%,Multi Cap Fund
Healthcare,,7.47%,Multi Cap Fund
Automobile and Auto Components,,6.87%,Multi Cap Fund
Financial Services,,25.82%,Multi Cap Fund
Capital Goods,,10.19%,Multi Cap Fund
Information Technology,,9.13%,Multi Cap Fund
Automobile and Auto Components,,6.19%,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,6.18%,Multi Cap Fund
Financial Services,,21.73%,Multi Cap Fund
Capital Goods,,16.70%,Multi Cap Fund
Information Technology,,11.89%,Multi Cap Fund
Healthcare,,7.01%,Multi Cap Fund
Construction,,5.68%,Multi Cap Fund
Financial Services,,20.06%,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,11.46%,Multi Cap Fund
Automobile and Auto Components,,9.21%,Multi Cap Fund
Healthcare,,7.82%,Multi Cap Fund
Information Technology,,7.57%,Multi Cap Fund
Financial Services,,31.08%,Multi Cap Fund
Capital Goods,,13.10%,Multi Cap Fund
Automobile and Auto Components,,11.89%,Multi Cap Fund
Information Technology,,9.24%,Multi Cap Fund
Healthcare,,5.18%,Multi Cap Fund
Financial Services,,25.89%,Multi Cap Fund
Capital Goods,,14.59%,Multi Cap Fund
Information Technology,,6.16%,Multi Cap Fund
Consumer Services,,6.01%,Multi Cap Fund
Automobile and Auto Components,,5.64%,Multi Cap Fund
Financial Services,,24.96%,Multi Cap Fund
Automobile and Auto Components,,11.87%,Multi Cap Fund
Fast Moving Consumer Goods,,7.89%,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,6.61%,Multi Cap Fund
"Media, Entertainment & Publication",,6.09%,Multi Cap Fund
Financial Services,,23.98%,Multi Cap Fund
Capital Goods,,14.64%,Multi Cap Fund
Automobile and Auto Components,,11.53%,Multi Cap Fund
Consumer Durables,,6.32%,Multi Cap Fund
Chemicals,,6.19%,Multi Cap Fund
Financial Services,,19.83%,Multi Cap Fund
Capital Goods,,12.20%,Multi Cap Fund
Information Technology,,10.15%,Multi Cap Fund
Consumer Durables,,7.97%,Multi Cap Fund
Power,,7.43%,Multi Cap Fund
Financial Services,,27.77%,Multi Cap Fund
Healthcare,,9.41%,Multi Cap Fund
Consumer Durables,,8.01%,Multi Cap Fund
Information Technology,,6.74%,Multi Cap Fund
Automobile and Auto Components,,6.69%,Multi Cap Fund
Financial Services,,30.43%,Multi Cap Fund
Consumer Services,,12.45%,Multi Cap Fund
Capital Goods,,10.65%,Multi Cap Fund
Healthcare,,7.83%,Multi Cap Fund
Automobile and Auto Components,,6.27%,Multi Cap Fund
Financial Services,,17.90%,Multi Cap Fund
Metals & Mining,,14.67%,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,14.63%,Multi Cap Fund
Healthcare,,11.10%,Multi Cap Fund
Fast Moving Consumer Goods,,8.78%,Multi Cap Fund
Financial Services,,21.21%,Multi Cap Fund
Consumer Durables,,8.53%,Multi Cap Fund
Automobile and Auto Components,,8.08%,Multi Cap Fund
Healthcare,,7.76%,Multi Cap Fund
Consumer Services,,6.82%,Multi Cap Fund
Financial Services,,29.17%,Multi Cap Fund
Capital Goods,,10.35%,Multi Cap Fund
Automobile and Auto Components,,9.59%,Multi Cap Fund
Healthcare,,8.54%,Multi Cap Fund
Information Technology,,6.73%,Multi Cap Fund
Financial Services,,30.14%,Multi Cap Fund
Information Technology,,7.32%,Multi Cap Fund
Automobile and Auto Components,,7.06%,Multi Cap Fund
Capital Goods,,6.39%,Multi Cap Fund
