Sector Name,Dummy,Percentage Allocation,Fund Type
Information Technology,,2.07%,Equity Savings
"Oil, Gas & Consumable Fuels",,1.31%,Equity Savings
Miscellaneous,,30.02%,Equity Savings
Financial Services,,21.05%,Equity Savings
Sovereign,,9.26%,Equity Savings
Current Assets,,5.59%,Equity Savings
Services,,4.56%,Equity Savings
Miscellaneous,,32.67%,Equity Savings
Financial Services,,18.27%,Equity Savings
Current Assets,,11.13%,Equity Savings
Sovereign,,10.86%,Equity Savings
Healthcare,,4.95%,Equity Savings
Miscellaneous,,38.19%,Equity Savings
Financial Services,,10.55%,Equity Savings
Current Assets,,10.03%,Equity Savings
Sovereign,,8.93%,Equity Savings
Power,,6.40%,Equity Savings
Miscellaneous,,32.62%,Equity Savings
Sovereign,,20.61%,Equity Savings
Financial Services,,16.23%,Equity Savings
Current Assets,,7.50%,Equity Savings
Information Technology,,4.49%,Equity Savings
Miscellaneous,,37.15%,Equity Savings
Financial Services,,19.55%,Equity Savings
Sovereign,,16.88%,Equity Savings
"Oil, Gas & Consumable Fuels",,4.31%,Equity Savings
Current Assets,,4.09%,Equity Savings
Automobile and Auto Components,,19.40%,ETFs - Others
Healthcare,,18.33%,ETFs - Others
Capital Goods,,17.95%,ETFs - Others
Financial Services,,12.61%,ETFs - Others
Consumer Services,,5.02%,ETFs - Others
Fast Moving Consumer Goods,,29.10%,ETFs - Others
Information Technology,,25.99%,ETFs - Others
Consumer Durables,,8.92%,ETFs - Others
Automobile and Auto Components,,6.80%,ETFs - Others
"Oil, Gas & Consumable Fuels",,6.62%,ETFs - Others
Financial Services,,35.24%,ETFs - Others
Information Technology,,13.61%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.39%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Financial Services,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Healthcare,,99.80%,ETFs - Others
Current Assets,,0.20%,ETFs - Others
Information Technology,,99.97%,ETFs - Others
Current Assets,,0.03%,ETFs - Others
Financial Services,,20.30%,ETFs - Others
Fast Moving Consumer Goods,,12.66%,ETFs - Others
Consumer Services,,11.61%,ETFs - Others
Capital Goods,,11.12%,ETFs - Others
Chemicals,,6.57%,ETFs - Others
Financial Services,,39.11%,ETFs - Others
Information Technology,,15.03%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ETFs - Others
Fast Moving Consumer Goods,,8.99%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Financial Services,,35.12%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.17%,ETFs - Others
Automobile and Auto Components,,6.47%,ETFs - Others
Financial Services,,99.80%,ETFs - Others
Current Assets,,0.20%,ETFs - Others
Healthcare,,99.81%,ETFs - Others
Current Assets,,0.19%,ETFs - Others
Fast Moving Consumer Goods,,37.63%,ETFs - Others
Automobile and Auto Components,,19.30%,ETFs - Others
Consumer Durables,,13.77%,ETFs - Others
Telecommunication,,10.10%,ETFs - Others
Consumer Services,,8.35%,ETFs - Others
Information Technology,,99.80%,ETFs - Others
Current Assets,,0.20%,ETFs - Others
Financial Services,,38.94%,ETFs - Others
Information Technology,,15.06%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.83%,ETFs - Others
Fast Moving Consumer Goods,,9.00%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Financial Services,,35.25%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.17%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Financial Services,,38.93%,ETFs - Others
Information Technology,,14.75%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ETFs - Others
Fast Moving Consumer Goods,,9.09%,ETFs - Others
Automobile and Auto Components,,5.40%,ETFs - Others
Financial Services,,71.44%,ETFs - Others
"Oil, Gas & Consumable Fuels",,19.15%,ETFs - Others
Power,,5.28%,ETFs - Others
Miscellaneous,,3.09%,ETFs - Others
Sovereign,,0.89%,ETFs - Others
Financial Services,,42.29%,ETFs - Others
Power,,15.04%,ETFs - Others
"Oil, Gas & Consumable Fuels",,14.88%,ETFs - Others
Sovereign,,11.14%,ETFs - Others
Construction,,11.02%,ETFs - Others
Financial Services,,42.27%,ETFs - Others
Power,,17.92%,ETFs - Others
Sovereign,,12.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.67%,ETFs - Others
Construction,,7.36%,ETFs - Others
Financial Services,,45.93%,ETFs - Others
"Oil, Gas & Consumable Fuels",,16.34%,ETFs - Others
Sovereign,,13.06%,ETFs - Others
Power,,12.89%,ETFs - Others
Construction,,7.40%,ETFs - Others
Financial Services,,58.45%,ETFs - Others
Power,,17.89%,ETFs - Others
Sovereign,,13.44%,ETFs - Others
"Oil, Gas & Consumable Fuels",,7.54%,ETFs - Others
Miscellaneous,,2.62%,ETFs - Others
Power,,46.29%,ETFs - Others
"Oil, Gas & Consumable Fuels",,37.63%,ETFs - Others
Capital Goods,,14.88%,ETFs - Others
Construction,,1.17%,ETFs - Others
Current Assets,,0.03%,ETFs - Others
Financial Services,,19.86%,ETFs - Others
Automobile and Auto Components,,12.18%,ETFs - Others
Information Technology,,11.75%,ETFs - Others
Fast Moving Consumer Goods,,10.14%,ETFs - Others
Healthcare,,9.91%,ETFs - Others
Financial Services,,99.87%,ETFs - Others
Current Assets,,0.13%,ETFs - Others
Information Technology,,99.91%,ETFs - Others
Current Assets,,0.09%,ETFs - Others
Information Technology,,16.52%,ETFs - Others
Capital Goods,,16.14%,ETFs - Others
Financial Services,,13.00%,ETFs - Others
Chemicals,,11.40%,ETFs - Others
Healthcare,,8.34%,ETFs - Others
Financial Services,,100.05%,ETFs - Others
Current Assets,,-0.05%,ETFs - Others
Financial Services,,100.54%,ETFs - Others
Current Assets,,-0.54%,ETFs - Others
Financial Services,,36.68%,ETFs - Others
Information Technology,,14.10%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.14%,ETFs - Others
Fast Moving Consumer Goods,,8.42%,ETFs - Others
Current Assets,,6.27%,ETFs - Others
Financial Services,,32.66%,ETFs - Others
Information Technology,,11.39%,ETFs - Others
